Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,fAVG,fOPS,fHR,fRBI,fR,fSB,fSCORE
Jorge Polanco,Twins,153,704,22,107,79,4,8.50%,16.50%,0.19,0.328,0.295,0.356,0.485,0.352,119,3.1,20.6,-3.9,4,128,92,76,87,138,84,101
Tim Anderson,White Sox,123,518,18,81,56,17,2.90%,21.00%,0.173,0.399,0.335,0.357,0.508,0.363,130,1.7,21.4,-3.7,3.5,200,102,60,32,80,126,100
Paul Goldschmidt,Cardinals,161,682,34,97,97,3,11.40%,24.30%,0.216,0.303,0.26,0.346,0.476,0.346,116,3.2,17.3,-9.3,2.9,64,84,124,130,116,81,100
Matt Chapman,Athletics,156,670,36,102,91,1,10.90%,21.90%,0.257,0.27,0.249,0.342,0.506,0.354,125,0.9,22.4,17.1,6.1,44,95,132,116,127,74,98
Max Kepler,Twins,134,596,36,98,90,1,10.10%,16.60%,0.267,0.244,0.252,0.336,0.519,0.355,121,-1.8,14.4,10,4.4,50,98,132,114,118,74,98
Michael Conforto,Mets,151,648,33,90,92,7,13.00%,23.00%,0.237,0.29,0.257,0.363,0.494,0.358,126,1.4,23.6,-6,3.7,59,99,120,118,100,94,98
Nicholas Castellanos,- - -,151,664,27,100,73,2,6.20%,21.50%,0.236,0.337,0.289,0.337,0.525,0.357,121,-0.5,18.3,-12.6,2.8,117,101,96,73,123,78,98
Matt Olson,Athletics,127,547,36,73,91,0,9.30%,25.20%,0.277,0.3,0.267,0.351,0.545,0.368,134,-0.5,23.5,-3,3.9,77,115,132,116,63,71,96
Kyle Schwarber,Cubs,155,610,38,82,92,2,11.50%,25.60%,0.282,0.276,0.25,0.339,0.531,0.357,120,-2.3,13.8,-7.1,2.6,46,104,140,118,83,78,95
J.T. Realmuto,Phillies,145,593,25,92,83,9,6.90%,20.70%,0.217,0.309,0.275,0.328,0.493,0.34,108,5.4,11.7,27.8,5.7,92,84,88,97,105,100,94
Bryan Reynolds,Pirates,134,546,16,83,68,3,8.40%,22.20%,0.189,0.387,0.314,0.377,0.503,0.371,131,0.7,22.8,-7.6,3.2,162,109,52,61,85,81,92
Justin Turner,Dodgers,135,549,27,80,67,2,9.30%,16.00%,0.219,0.304,0.29,0.372,0.509,0.37,132,-1.1,22.3,-5.3,3.4,119,109,96,58,78,78,90
Hunter Dozier,Royals,139,586,26,75,84,2,9.40%,25.30%,0.243,0.339,0.279,0.348,0.522,0.36,124,-2.1,15.6,-5.7,3,99,104,92,99,67,78,90
Mike Moustakas,Brewers,143,584,35,80,87,3,9.10%,16.80%,0.262,0.25,0.254,0.329,0.516,0.348,113,-2.2,7.8,2,2.8,54,94,128,106,78,81,90
Tommy Pham,Rays,145,654,21,77,68,25,12.40%,18.80%,0.176,0.316,0.273,0.369,0.45,0.349,121,0.6,18.5,-7.5,3.3,88,83,72,61,72,152,88
Ryan Braun,Brewers,144,508,22,70,75,11,6.70%,20.70%,0.22,0.325,0.285,0.343,0.505,0.354,117,-0.7,10.5,-6.9,1.9,110,95,76,77,56,107,87
Manny Machado,Padres,156,661,32,81,85,5,9.80%,19.40%,0.206,0.274,0.256,0.334,0.462,0.335,108,-1.7,5.4,4.9,3.1,57,74,116,101,80,87,86
Joc Pederson,Dodgers,149,514,36,83,74,1,9.70%,21.60%,0.289,0.249,0.249,0.339,0.538,0.362,127,0.1,18.4,-3.7,3,44,107,132,75,85,74,86
Christian Walker,Diamondbacks,152,603,29,86,73,8,11.10%,25.70%,0.217,0.312,0.259,0.348,0.476,0.346,112,2.6,12,-8.4,2.2,63,85,104,73,92,97,86
Shin-Soo Choo,Rangers,151,660,24,93,61,15,11.80%,25.00%,0.19,0.333,0.265,0.371,0.455,0.353,112,3.8,13.8,-19.2,1.7,73,86,84,44,107,120,86
Jose Ramirez,Indians,129,542,23,68,83,24,9.60%,13.70%,0.224,0.256,0.255,0.327,0.479,0.334,104,6.7,9.6,5.7,3.3,55,78,80,97,52,149,85
