Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Bailey Falter","PIT",5,7,,4.26184,25,20,,,107.7,457,110,55,51,13,29,0,3,80,6.68524,2.4234,2.75862,1.08635,0.175055,0.0634573,0.11159736663103104,0.258824,1.29062,0.292169,0.695364,,,4.22997,1.53358,1.54598,999,,,,"20070"
"Caleb Kilian","CHC",4,6,,4.57335,22,20,,,104.3,455,106,57,53,10,39,1,5,83,7.16203,3.36529,2.12821,0.862895,0.182418,0.0857143,0.09670329838991165,0.257908,1.39022,0.301887,0.671756,,,4.17546,1.52838,1.02679,999,,,,"26213"
"Dylan Ray","ARI",8,7,,4.08333,24,24,,,108,460,102,52,49,11,36,0,6,87,7.25,3,2.41667,0.916667,0.18913,0.0782609,0.11086957156658173,0.244019,1.27778,0.284375,0.701468,,,4.13467,1.52458,1.85535,999,,,,"sa3020392"
"Joe Rock","COL",6,7,,4.66981,22,22,,,106,462,107,59,55,13,39,0,6,85,7.21698,3.31132,2.17949,1.10377,0.183983,0.0844156,0.09956710040569305,0.256595,1.37736,0.294671,0.680751,,,4.51919,1.52257,1.79276,999,,,,"sa3017755"
"Tekoah Roby","STL",6,6,,4.01114,24,24,,,107.7,455,99,51,48,12,36,0,5,88,7.35376,3.00836,2.44444,1.00279,0.193407,0.0791209,0.11428571492433548,0.23913,1.25348,0.27707,0.71066,,,4.2114,1.52025,1.79836,999,,,,"sa3014519"
"Mason Black","SFG",6,6,,4.13514,27,27,,,111,474,102,55,51,13,39,0,8,107,8.67568,3.16216,2.74359,1.05405,0.225738,0.0822785,0.14345990866422653,0.238876,1.27027,0.289902,0.700326,,,4.1199,1.51732,1.51651,999,,,,"sa3018146"
"Ty Madden","DET",4,4,,4.24297,25,24,,,110.3,470,101,56,52,12,41,0,5,96,7.83318,3.34542,2.34146,0.979148,0.204255,0.087234,0.11702127009630203,0.238208,1.2874,0.281646,0.686901,,,4.17979,1.50928,1.48187,999,,,,"sa3018141"
"Landon Knack","LAD",5,3,,4.26912,25,25,,,103.3,441,102,52,49,13,34,0,3,86,7.49274,2.96225,2.52941,1.13262,0.195011,0.0770975,0.11791382730007172,0.252475,1.31655,0.291803,0.713073,,,4.30054,1.50844,1.40403,999,,,,"sa3014518"
"Tink Hence","STL",6,6,,4.09449,28,28,,,114.3,485,110,56,52,12,37,0,4,80,6.29921,2.91339,2.16216,0.944882,0.164948,0.0762887,0.08865978568792343,0.247748,1.28609,0.278409,0.698925,,,4.29616,1.50477,1.71384,999,,,,"sa3014709"
"Mitch Spence","OAK",6,6,,4.15274,24,23,,,125.7,540,126,62,58,14,40,0,6,98,7.01671,2.86396,2.45,1.00239,0.181481,0.0740741,0.10740740597248077,0.255061,1.3206,0.293194,0.710383,,,4.24152,1.50132,1.55457,999,,,,"sa1169885"
