"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jesse Winker","Reds","108","463","393","107","20","1","19","62","59","58","88","7","3","1","",".272",".373",".473",".846",".359","","119","-0.9","-3.7","","10.5","-9.2","1.6","","208.4","13590"
"Jacob Stallings","Pirates","92","360","324","81","18","1","8","36","36","27","82","4","2","1","",".249",".313",".383",".695",".297","","82","-0.2","0.3","","-8.9","8.0","1.6","","388.5","13723"
"Keston Hiura","Brewers","144","618","554","140","27","2","30","78","86","45","174","12","11","5","",".252",".319",".469",".788",".329","","101","0.1","-4.1","","0.7","-4.5","1.6","","64.5","20003"
"Ryan Mountcastle","Orioles","138","578","535","148","27","1","26","71","82","32","129","5","3","1","",".276",".322",".478",".800",".334","","108","0.1","0.3","","5.9","-10.2","1.6","","134.9","18373"
"Jorge Soler","Royals","143","616","531","130","27","1","32","83","90","70","176","9","3","1","",".245",".340",".483",".823",".345","","113","-0.4","-1.1","","10.1","-15.7","1.6","","139.5","14221"
"Andres Gimenez","Indians","133","533","485","127","25","4","13","60","59","30","109","10","23","10","",".261",".315",".406",".721",".307","","87","1.0","2.3","","-7.8","5.1","1.6","","193.4","19950"
"Jose Abreu","White Sox","150","658","598","162","33","1","33","87","102","43","152","11","2","1","",".270",".328",".495",".823",".342","","114","-2.4","-3.8","","9.8","-17.1","1.5","","34.5","15676"
"Miguel Sano","Twins","150","623","538","124","24","1","38","85","96","73","231","4","2","1","",".231",".325",".493",".818",".340","","111","-0.5","-2.3","","8.5","-14.8","1.5","","188.4","12164"
"Mike Yastrzemski","Giants","150","664","581","142","31","6","22","84","72","66","171","7","8","3","",".245",".328",".430",".757",".321","","99","1.1","0.1","","0.1","-6.1","1.5","","131.6","14854"
"Mitch Haniger","Mariners","138","615","533","129","26","2","25","80","71","64","159","9","7","3","",".241",".331",".439",".769",".326","","106","-0.4","-0.2","","4.6","-11.1","1.5","","267.4","14274"
"Luis Urias","Brewers","136","546","476","117","23","3","13","59","56","54","118","9","6","3","",".246",".331",".386",".717",".310","","89","-0.4","2.8","","-8.4","5.7","1.5","","399.8","16622"
"Franmil Reyes","Indians","150","631","557","143","24","1","37","86","97","63","172","4","1","0","",".257",".333",".500",".834",".347","","114","-1.0","0.0","","10.1","-17.5","1.4","","162.5","14566"
"Bryan Reynolds","Pirates","139","603","535","142","28","4","18","72","68","55","142","5","6","3","",".265",".337",".433",".770",".327","","102","0.0","-2.5","","1.2","-5.9","1.4","","322.7","19326"
