"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Manny Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".251",".283",".534",".233","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa509273"
"Alfredo Escalera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".258",".315",".573",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658111"
"Kirvin Moesquit","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".254",".264",".518",".229","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829715"
"Daniel Amaral","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".266",".308",".574",".250","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006712"
"Lenyn Sosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".228",".265",".493",".214","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004051"
"Tucker Neuhaus","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".236",".297",".533",".229","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737623"
"Jacob Gonzalez","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".243",".283",".526",".229","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004691"
"Riley Greene","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".234",".294",".528",".228","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010694"
"Juan Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".248",".283",".531",".232","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa502541"
"Casey Gillaspie","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".267",".329",".597",".258","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827177"
"Kristian Robinson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".239",".307",".546",".235","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006884"
"Jerar Encarnacion","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".250",".319",".569",".244","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa943817"
"Zachery Almond","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".224",".252",".476",".209","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005104"
"Jefrey Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".260",".331",".591",".254","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa923039"
"Carlos Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".225",".260",".485",".213","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa509441"
"Imeldo Diaz","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".244",".283",".527",".228","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872851"
"Devlin Granberg","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".274",".327",".601",".261","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006671"
"Shean Michel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".256",".276",".532",".235","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa877018"
"Moises Gomez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".241",".311",".552",".238","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875163"
"Hayden Senger","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".222",".244",".466",".206","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007009"
"Miguel Torrero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".247",".287",".534",".232","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa508490"
"Grant Witherspoon","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".229",".276",".505",".219","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007047"
"Luken Baker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".268",".325",".594",".257","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008267"
"James Outman","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".230",".294",".524",".226","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007312"
"Jonathan Aranda","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".240",".258",".498",".219","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa919293"
"Austin Shenton","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".226",".281",".507",".219","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009869"
"Omar Meza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".247",".275",".522",".229","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa914755"
"Dillon Dobson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".262",".337",".599",".258","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875376"
"Seaver Whalen","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".227",".275",".502",".219","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003939"
"Parker Meadows","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".235",".289",".524",".227","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007943"
"Cody Asche","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".282",".331",".614",".268","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","11997"
"Nick Dalesandro","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".235",".248",".483",".215","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007503"
"Dermis Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".246",".351",".596",".253","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa881025"
"Chris Corbett","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".224",".248",".472",".209","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004695"
"Carlos Munoz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".280",".307",".588",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa602498"
"Zach Rutherford","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".241",".250",".492",".219","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915797"
"Christopher Torres","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".241",".237",".478",".215","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872538"
"Julian Castro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".246",".281",".527",".229","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa546293"
"Daniel Reyes","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".248",".324",".572",".245","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006859"
"Gersel Pitre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".223",".256",".478",".208","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828176"
"Livan Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".236",".247",".483",".214","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004264"
"Tyler Depreta-Johnson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".242",".251",".493",".219","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006792"
"Shea Langeliers","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".229",".260",".489",".214","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010329"
"Angelo Castellano","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".277",".310",".587",".256","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657521"
"Manny Pazos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".228",".240",".468",".208","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004304"
"Gift Ngoepe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".259",".275",".534",".237","","42","0.0","0.0","","-0.1","0.0","0.0","","999.0","10340"
"Zack Gahagan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".239",".284",".523",".228","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008001"
"Blake Swihart","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".259",".308",".567",".247","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","13176"
"Malcom Nunez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".233",".294",".527",".227","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008113"
"Alex Holderbach","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".207",".247",".453",".198","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006789"
"Yeyson Yrizarri","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".234",".279",".513",".222","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828293"
"Israel Pineda","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".226",".265",".492",".215","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004385"
"Grant Kay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".268",".323",".590",".256","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829446"
"Peyton Burdick","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".249",".310",".560",".242","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3009876"
"Abraham Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".221",".251",".473",".208","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa977922"
"Brhet Bewley","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".251",".260",".512",".227","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007289"
"Demi Orimoloye","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".246",".314",".560",".241","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875027"
"Gabriel Mejia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".246",".271",".517",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828213"
"Malvin Matos","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".243",".286",".529",".231","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa878742"
"Jesus Arredondo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".272",".321",".593",".258","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa635035"
"Tucupita Marcano","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".249",".269",".518",".227","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002857"
"Miguelangel Sierra","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".217",".262",".479",".208","","27","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872750"
"Eric Cole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".261",".300",".561",".245","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008268"
"Nick Meyer","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".219",".242",".461",".204","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007826"
"Jack Conley","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".225",".253",".479",".211","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006857"
"Gustavo Polanco","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".220",".264",".484",".210","","24","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa871442"
"Alex King","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".240",".277",".518",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006939"
"Blaze Alexander","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".240",".269",".509",".223","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007742"
"Gilberto Jimenez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".241",".289",".530",".229","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005507"
"Adam Walton","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".246",".270",".517",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875273"
"Lazaro Armenteros","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".250",".286",".535",".235","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa969091"
"Trenton Kemp","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".247",".323",".570",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829348"
"Aldemar Burgos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".233",".292",".525",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875196"
"Andre Lipcius","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".243",".273",".516",".226","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010401"
"Michael Bernal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".246",".268",".514",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918667"
"Nathan Perry","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".156",".207",".242",".449",".197","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004756"
"Morgan Lofstrom","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".216",".260",".476",".207","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738557"
"Angel Chavarin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".221",".250",".472",".208","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa547724"
"Hagen Danner","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".157",".207",".258",".465",".202","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004501"
"Saige Jenco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".269",".280",".550",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa873629"
"David Thompson","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".258",".324",".582",".251","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa659290"
"Jonah Davis","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".232",".296",".528",".229","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007501"
"Connor Kaiser","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".242",".251",".493",".219","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007823"
"Francisco Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".235",".282",".518",".226","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa977120"
"Jack Sundberg","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".273",".276",".550",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa913277"
"Andy Weber","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".239",".264",".503",".219","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008282"
"Grae Kessinger","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".226",".243",".469",".207","","26","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010327"
"Brandon Montgomery","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".239",".280",".519",".226","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918622"
"JC Encarnacion","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".228",".289",".516",".222","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa921562"
"Santiago Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".255",".323",".578",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa509127"
"Brayan Morales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".243",".274",".516",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918374"
"Trey Cabbage","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".245",".319",".564",".241","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875022"
"Austin Filiere","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".238",".278",".516",".226","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915780"
"David Banuelos","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".214",".251",".465",".203","","19","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004056"
"Galli Cribbs Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".249",".256",".505",".226","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa708444"
"Hans Wilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".222",".248",".470",".207","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa507241"
"Jhonny Santos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".256",".304",".559",".244","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828314"
"Jack Larsen","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".251",".282",".533",".235","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004840"
"Kevin Josephina","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".254",".273",".528",".232","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830120"
"Edson Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".261",".296",".558",".244","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa691751"
"Hector Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".253",".268",".522",".229","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa509125"
"Sergio Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".230",".297",".527",".226","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa505255"
"Jacob Pearson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".254",".301",".554",".241","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004722"
"Rafael Lantigua","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".237",".269",".506",".221","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003219"
"Everlouis Lozada","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".246",".275",".521",".228","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917077"
"Garrett Whitley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".169",".250",".278",".528",".234","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa874244"
"Orlando Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".248",".259",".507",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915658"
"Alvaro Rubalcaba","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".240",".242",".482",".216","","28","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007882"
"Freudis Nova","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".217",".257",".474",".206","","25","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003195"
"B.J. Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".227",".234",".461",".205","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa694185"
"Michael Hickman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".217",".252",".469",".205","","21","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876234"
"Matt Vierling","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".257",".315",".573",".247","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006781"
"Juan Camacho","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".204",".249",".453",".196","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa877333"
"Jose Gutierrez","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".237",".288",".525",".228","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917301"
"Norberto Obeso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".266",".288",".553",".243","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa852308"
"Matt McPhearson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".246",".262",".508",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737783"
"Jacob Rhinesmith","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".267",".309",".576",".250","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006729"
"Lazaro Alonso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".271",".301",".572",".250","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002722"
"Coco Montes","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".252",".306",".558",".241","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006715"
"Chandler Taylor","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".244",".289",".533",".234","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006654"
"Gabriel Quintana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".246",".351",".597",".253","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548052"
"Yainer Diaz","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".215",".260",".475",".205","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003386"
"Jackson Cluff","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".237",".270",".507",".222","","30","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010342"
"Francisco Lugo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".257",".308",".565",".244","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa505990"
"Tyler Cropley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".224",".256",".481",".211","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007510"
"Andres Luna","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".230",".289",".519",".224","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828379"
"Jesus Alberto Vega","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".165",".218",".256",".474",".208","","23","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa199032"
"Johnny Rizer","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".247",".307",".554",".239","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa1169761"
"Alan Marrero","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".162",".219",".251",".470",".207","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918102"
"Zack Soria","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".161",".218",".244",".462",".205","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004373"
"Enrique Osorio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".262",".300",".562",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa509128"
"Grant Fennell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".257",".300",".557",".243","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007100"
"Brian Rey","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".251",".336",".587",".250","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007307"
"Kyle Gray","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".238",".262",".500",".220","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007636"
"Trevor Casanova","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".166",".214",".244",".459",".202","","18","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007294"
"Dallas Carroll","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".246",".273",".519",".229","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa913370"
"Jose Carlos Urena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".254",".300",".554",".243","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657491"
"Kelvin Melean","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".243",".267",".511",".224","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917141"
"Marco Chicuate","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".217",".248",".465",".204","","20","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa653586"
"Joseph Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".253",".247",".499",".224","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007087"
"Jeffry Parra","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".158",".218",".241",".459",".204","","22","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918541"
"Sandro Fabian","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".251",".309",".560",".242","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872803"
"Jake Ring","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".254",".301",".555",".242","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918728"
"Brandon Howlett","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".240",".275",".515",".226","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007745"
"Ricky Aracena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".243",".265",".508",".223","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa877365"
"Tyler Fitzgerald","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".234",".252",".485",".214","","29","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3011257"
"Mitch Reeves","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".270",".310",".580",".253","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004137"
"Griffin Conine","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".235",".322",".557",".238","","43","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876060"
"Brennen Davis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".247",".323",".570",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007876"
