Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Adolis García","TEX",149.04,649.941,585.054,140.948,79.2134,28.58,1.634,31.5204,83.1569,95.4397,52.6452,0.6499,186.106,6.4994,4.7652,0.9766,,13.137,4.7608,0.240914,0.081,0.286343,0.282878,0.308326,0.456978,0.327142,0.765304,0.216064,4.64759,0.294007,0.598,-0.443087,83.9242,4.73267,105.38,0.154913,3.781,4.344339430332184,-4.319000482559204,2.20452,48.459999084472656,,,,"19287"
"Max Muncy","LAD",124.74,527.291,438.386,99.4527,54.7767,17.8648,1.0612,25.7501,71.3939,74.6459,77.09,2.6365,133.532,6.3275,4.1023,1.3857,,2.184,0.963,0.226861,0.1462,0.253242,0.577313,0.347724,0.448669,0.344447,0.796394,0.221808,2.91055,0.260244,0.19,-1.01415,75.6651,11.4177,118.424,-0.82415,-8.579,11.211072087287903,-7.256000518798828,2.18521,183.66000366210938,,,,"13301"
"Josh Lowe","TBR",126.36,536.69,482.641,124.531,74.8909,29.5074,2.1583,17.9744,66.4025,70.0398,45.6187,2.1468,147.35,3.2201,3.759,1.4513,,21.8812,6.4256,0.25802,0.085,0.274554,0.309593,0.323911,0.439826,0.327884,0.763737,0.181806,5.64798,0.331874,0.306,0.727324,69.6313,4.23872,112.887,1.03332,0.523,9.320850372314453,-5.687000036239624,2.18066,80.8499984741211,,,,"19953"
"Bo Naylor","CLE",90.85,367.185,311.133,71.5368,41.5721,15.3984,0.9117,13.6546,43.2415,43.0293,48.1012,1.8359,85.4683,3.6719,2.5857,1.693,,5.2593,1.9949,0.229923,0.131,0.232766,0.562796,0.337381,0.416935,0.328602,0.754316,0.187012,3.96029,0.269726,0.253,-0.495234,47.8583,3.11893,110.916,-0.242234,-3.417,4.560448959469795,2.8580000400543213,2.17607,158.75999450683594,,,,"21865"
"Seiya Suzuki","CHC",139.32,599.055,525.738,138.903,86.249,26.0821,3.4436,23.1282,75.8057,81.9895,63.0206,3.5943,137.165,4.7924,4.192,1.3127,,8.9202,4.8032,0.264206,0.1052,0.228969,0.459451,0.345827,0.458892,0.345277,0.804719,0.194686,4.42572,0.313212,-0.473,-1.40266,86.3758,13.3844,117.566,-1.87566,-0.403,11.16055941581726,-9.852999806404114,2.16494,112.54000091552734,,,,"30116"
"Evan Carter","TEX",140.94,603.441,518.271,129.706,84.507,24.6861,3.963,16.5498,73.511,72.7519,73.3181,2.4138,153.46,6.6379,4.1327,1.082,,14.8198,6.942,0.250267,0.1215,0.254308,0.477767,0.348068,0.40899,0.331414,0.757058,0.158723,5.20682,0.321107,-0.169,-1.21471,80.0608,6.535,108.341,-1.38371,2.808,4.646913409233093,-3.5910000801086426,2.14974,138.33999633789062,,,,"27790"
"Alec Bohm","PHI",142.56,598.891,544.65,150.673,101.709,29.4716,1.1642,18.3291,70.8444,75.6427,42.0421,1.1978,105.771,5.39,4.6692,2.1397,,4.256,1.93,0.276643,0.0701999,0.176611,0.397482,0.331974,0.435988,0.331312,0.767962,0.159345,3.25002,0.311238,-0.581,-1.10333,79.406,6.43464,106.712,-1.68433,-2.395,3.295436978340149,-2.2869999781250954,2.13455,173.8000030517578,,,,"21618"
"Alek Thomas","ARI",131.22,534.126,487.277,127.097,82.4857,25.641,5.1642,13.8061,59.7124,61.8171,35.0921,1.0683,102.669,5.3413,3.842,2.5736,,9.6157,4.0624,0.260831,0.0657,0.192219,0.341797,0.315172,0.419647,0.316718,0.734819,0.158817,5.36227,0.302396,1.122,-0.730385,64.3451,-0.735124,97.2293,0.391615,2.329,-1.4417537152767181,4.516000032424927,2.12059,331.44000244140625,,,,"23792"
"Vaughn Grissom","BOS",123.12,479.257,423.954,120.669,82.5399,26.3636,2.5877,9.1779,56.9394,54.0585,40.0659,0.9585,77.202,7.6681,3.839,3.7298,,7.7456,3.1637,0.284628,0.0836001,0.161087,0.518975,0.35414,0.423965,0.338981,0.778105,0.139338,4.48313,0.326558,0.115,-0.782599,66.5965,8.20185,109.818,-0.667599,-2.655,4.970258474349976,-0.27900004386901855,2.09152,239.38999938964844,,,,"26031"
"Jake Burger","MIA",140.94,598.818,544.307,135.795,78.8523,27.2998,2.4191,27.2234,72.4499,85.5204,39.8214,0.5988,161.931,8.9823,4.233,1.4752,,1.8084,0.8549,0.249482,0.0664999,0.270418,0.245916,0.309032,0.45857,0.32797,0.767602,0.209088,3.30334,0.302103,-0.096,-0.978146,77.7345,4.77197,104.549,-1.07415,-2.019,2.3006902933120728,-1.8300000578165054,2.08068,159.32000732421875,,,,"22275"
"Anthony Santander","BAL",149.04,657.02,589.028,147.986,85.725,31.9521,0.9638,29.3451,82.8821,93.6139,53.4814,0.657,145.372,8.5413,4.9678,1.0011,,3.5348,1.6942,0.251237,0.0814,0.22126,0.367893,0.320126,0.458214,0.333679,0.77834,0.206976,3.15574,0.282964,0.118,-1.14148,88.4049,8.35085,114.627,-1.02348,-3.169,10.491390228271484,-12.024999856948853,2.07305,142.55999755859375,,,,"14551"
"Brendan Donovan","STL",118.26,533.704,458.007,127.625,90.9978,22.8393,1.6822,12.1057,72.7946,52.2529,56.9462,2.1348,81.7084,10.6741,3.4943,4.5827,,6.9756,2.6725,0.278653,0.1067,0.153097,0.696944,0.368999,0.415159,0.344427,0.784159,0.136506,4.27394,0.314178,0.464,-0.938607,76.5764,11.5476,118.369,-0.474607,-0.703,11.670337408781052,-9.100000321865082,2.06891,283.2699890136719,,,,"24679"
"Henry Davis","PIT",113.3,465.85,401.51,97.9313,61.7844,19.8709,1.6251,14.6509,53.4413,52.8718,50.4981,3.261,108.89,8.8512,3.253,1.7375,,8.849,4.0692,0.243907,0.1084,0.233744,0.463755,0.338885,0.410961,0.326464,0.749846,0.167054,4.44397,0.296137,-0.135,-0.855944,59.8908,3.12969,102.595,-0.990944,-0.318,0.5067518353462219,4.372000068426132,2.06865,234.75999450683594,,,,"29617"
