"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","SO","WHIP","playerid"
"Geoff Hartlieb","PIT","0","0","13.50","1","0","0","0","0","0","2.0","11","2","3","3","0","3","0","1","0","2","2.50","19558"
"Jesse Hahn","KCR","0","0","13.50","5","0","0","0","1","2","3.1","19","5","5","5","2","4","0","1","1","3","2.70","13287"
"Jay Flaa","- - -","0","0","13.50","2","0","0","0","0","0","2.2","13","3","4","4","2","3","0","0","0","3","2.25","18140"
"Isaac Mattson","BAL","0","0","13.50","1","0","0","0","0","0","0.2","4","1","1","1","0","1","0","0","0","0","3.00","20385"
"Alec Bettinger","MIL","0","1","14.00","3","1","0","0","0","0","9.0","46","16","14","14","3","3","0","1","1","5","2.11","20312"
"Luis Madero","MIA","0","0","15.00","2","0","0","0","0","0","3.0","16","6","5","5","1","1","0","0","0","1","2.33","20399"
"Trevor Hildenberger","NYM","0","0","15.43","2","0","0","0","0","0","2.1","14","3","4","4","1","3","0","1","1","4","2.57","17002"
"Daniel Lynch","KCR","0","2","15.75","3","3","0","0","0","0","8.0","46","18","15","14","1","5","0","0","0","7","2.88","21537"
"Jake Newberry","KCR","0","0","16.62","4","0","0","0","0","0","4.1","24","10","8","8","2","3","0","0","1","5","3.00","15136"
"Darin Ruf","SFG","0","0","18.00","1","0","0","0","0","0","1.0","6","3","2","2","0","0","0","0","0","0","3.00","9929"
"Anthony Bemboom","LAA","0","0","18.00","1","0","0","0","0","0","1.0","7","3","2","2","1","0","0","0","0","0","3.00","13854"
"Stephen Tarpley","NYM","0","0","18.00","1","0","0","0","0","0","0.0","4","1","2","2","0","2","0","1","0","0","3.00","15859"
"Luis Guillorme","NYM","0","0","18.00","1","0","0","0","0","0","1.0","7","3","2","2","0","1","0","0","0","0","4.00","16451"
"Ralph Garza","HOU","0","1","18.00","1","0","0","0","0","0","1.0","6","2","3","2","1","1","1","0","0","1","3.00","17682"
"Zac Lowther","BAL","0","1","18.90","2","1","0","0","0","0","3.1","20","8","7","7","1","2","0","0","0","4","3.00","20243"
"Elijah Morgan","CLE","0","1","20.25","1","1","0","0","0","0","2.2","17","8","6","6","1","2","0","0","0","1","3.75","20203"
"Carl Edwards Jr.","- - -","0","0","20.25","2","0","0","0","0","0","1.1","9","4","3","3","1","1","0","0","1","1","3.75","13607"
"Brusdar Graterol","LAD","0","0","20.25","3","0","0","0","0","1","1.1","9","3","3","3","0","2","0","0","0","1","3.75","20367"
"Gregory Santos","SFG","0","2","22.50","3","0","0","0","0","0","2.0","13","5","6","5","3","2","0","0","0","3","3.50","21894"
"David Peralta","ARI","0","0","27.00","1","0","0","0","0","0","1.0","9","4","3","3","1","0","0","1","0","1","4.00","2136"
"Jonathan Stiever","CHW","0","0","27.00","1","0","0","0","0","0","0.0","4","4","3","3","0","0","0","0","0","0","4.00","24584"
"Chaz Roe","TBR","0","0","27.00","1","0","0","0","0","0","0.2","4","1","2","2","0","1","0","0","0","2","3.00","9866"
"Ryan Sherriff","TBR","0","0","27.00","1","0","0","0","0","1","0.1","3","2","1","1","0","0","0","0","0","0","6.00","12249"
"Shelby Miller","CHC","0","0","31.50","3","0","0","0","0","0","2.0","18","7","7","7","0","5","0","0","0","1","6.00","10197"
"Colten Brewer","BOS","0","0","36.00","1","0","0","0","0","0","1.0","9","4","4","4","0","3","0","0","0","1","7.00","12997"
"Felix Pena","LAA","0","0","37.80","2","0","0","0","0","0","1.2","16","7","7","7","0","4","0","0","1","2","6.60","13403"
"Shawn Morimando","MIA","0","0","54.00","1","0","0","0","0","0","0.2","7","4","4","4","1","1","0","0","0","0","7.50","13606"
"Wilmer Difo","PIT","0","0","72.00","1","0","0","0","0","0","1.0","12","6","8","8","1","3","0","0","0","1","9.00","14320"
