jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Victor Villanueva","Cardinals","0","0","7.79","0","1","0","1.0","1","1","0","0","1","2.24","4.18","9.28","7.94","0.0","0.0","999.0","sa3008137"
"Antonio Cardenas","","0","0","7.95","0","1","0","1.0","1","1","0","1","1","2.26","5.35","9.84","7.98","0.0","0.0","999.0","sa3002681"
"Luis Alvarez","","0","0","8.04","0","1","0","1.0","1","1","0","1","1","2.25","4.82","9.46","8.13","0.0","0.0","999.0","sa3002972"
"Jose Diaz","Tigers","0","0","7.96","0","1","0","1.0","1","1","0","1","1","2.30","5.14","10.21","8.13","0.0","0.0","999.0","sa3005709"
"Edmar Gonzalez","Cubs","0","0","7.90","0","1","0","1.0","1","1","0","1","1","2.36","5.45","10.99","8.14","0.0","0.0","999.0","sa3005896"
"Luis Gomez","Phillies","0","0","8.04","0","1","0","1.0","1","1","0","1","1","2.27","4.68","9.62","8.14","0.0","0.0","999.0","sa3006376"
"Jose Amaya","","0","0","7.78","0","1","0","1.0","1","1","0","1","1","2.32","4.99","10.51","8.15","0.0","0.0","999.0","sa3006121"
"David Flores","","0","0","7.81","0","1","0","1.0","1","1","0","1","1","2.30","4.97","10.29","8.15","0.0","0.0","999.0","sa3008433"
"Johan Montero","Pirates","0","0","8.04","0","1","0","1.0","1","1","0","1","1","2.28","4.91","9.83","8.15","0.0","0.0","999.0","sa3009488"
"Manuel De La Rosa","Nationals","0","0","7.95","0","1","0","1.0","1","1","0","1","1","2.31","5.01","10.29","8.15","0.0","0.0","999.0","sa3005830"
"Elian Rodriguez","Astros","0","0","7.95","0","1","0","1.0","1","1","0","1","1","2.22","4.82","9.14","8.03","0.0","0.0","999.0","sa3004715"
"Carlos Meza","Diamondbacks","0","0","7.78","0","1","0","1.0","1","1","0","1","1","2.31","5.12","10.30","8.00","0.0","0.0","999.0","sa3006410"
"Cristian Sierra","Brewers","0","0","7.84","0","1","0","1.0","1","1","0","1","1","2.19","5.27","9.24","8.04","0.0","0.0","999.0","sa3009859"
"Frainger Aranguren","Reds","0","0","8.31","0","1","0","1.0","1","1","0","1","1","2.23","4.90","9.01","8.32","0.0","0.0","999.0","sa3003132"
"Duany Gomez","Dodgers","0","0","7.74","0","1","0","1.0","1","1","0","0","1","2.14","4.15","8.35","7.97","0.0","0.0","999.0","sa3006142"
"Christophers Santana","","0","0","8.05","0","1","0","1.0","1","1","0","1","1","2.27","5.17","9.83","8.16","0.0","0.0","999.0","sa877306"
"Luisenyer Perez","Dodgers","0","0","7.41","0","1","0","1.0","1","1","0","1","1","2.30","4.91","10.48","7.98","0.0","0.0","999.0","sa3006367"
"Gabriel Delgado","","0","0","8.02","0","1","0","1.0","1","1","0","1","1","2.25","4.83","9.60","8.17","0.0","0.0","999.0","sa3005840"
"Jacob Gilliland","Dodgers","0","0","7.79","0","1","0","1.0","1","1","0","1","1","2.18","4.68","8.84","7.98","0.0","0.0","999.0","sa3007994"
"A.J. Franklin","Royals","0","0","7.89","0","1","0","1.0","1","1","0","1","1","2.35","4.76","10.69","8.15","0.0","0.0","999.0","sa3011419"
"Jesus Leon","Angels","0","0","7.93","0","1","0","1.0","1","1","0","1","1","2.38","5.33","11.06","8.32","0.0","0.0","999.0","sa3006124"
"Jeffrey Colon","Mets","0","0","7.61","0","1","0","1.0","1","1","0","1","1","2.22","5.08","9.65","7.94","0.0","0.0","999.0","sa3006421"
"Carlos De Los Santos","Dodgers","0","0","7.70","0","1","0","1.0","1","1","0","1","1","2.24","4.91","9.64","8.00","0.0","0.0","999.0","sa3005448"
"Ricardo Frias","","0","0","7.84","0","1","0","1.0","1","1","0","1","1","2.30","4.85","10.22","8.19","0.0","0.0","999.0","sa3006172"
"Nick Silva","","0","0","8.08","0","1","0","1.0","1","1","0","1","1","2.23","5.06","9.37","8.31","0.0","0.0","999.0","sa3010120"
"Martin Rodriguez","","0","0","7.67","0","1","0","1.0","1","1","0","1","1","2.17","4.69","8.91","7.95","0.0","0.0","999.0","sa3007808"
"Jesus Rosillo","Red Sox","0","0","8.02","0","1","0","1.0","1","1","0","1","1","2.29","5.04","10.09","8.19","0.0","0.0","999.0","sa3005842"
"Andry Cuevas","Reds","0","0","8.29","0","1","0","1.0","1","1","0","1","1","2.33","5.98","10.58","8.35","0.0","0.0","999.0","sa3003054"
"Kleiber Carreno","","0","0","8.01","0","1","0","1.0","1","1","0","1","1","2.32","4.95","10.32","8.19","0.0","0.0","999.0","sa3002953"
"Johan Lopez","","0","0","8.04","0","1","0","1.0","1","1","0","1","1","2.32","4.87","10.21","8.20","0.0","0.0","999.0","sa3005705"
"Yoel Diaz","","0","0","8.08","0","1","0","1.0","1","1","0","1","1","2.26","5.24","9.76","8.20","0.0","0.0","999.0","sa917049"
"Enmanuel Pio","Rockies","0","0","8.70","0","1","0","1.0","1","1","0","1","1","2.38","4.78","10.42","8.63","0.0","0.0","999.0","sa3008490"
"Allinson Benitez","","0","0","7.87","0","1","0","1.0","1","1","0","1","1","2.28","4.83","9.90","8.03","0.0","0.0","999.0","sa3003024"
"Jerald Cabrera","Rockies","0","0","8.76","0","1","0","1.0","1","1","0","1","1","2.33","4.88","9.94","8.64","0.0","0.0","999.0","sa3006388"
"Gabriel Cotto","Phillies","0","0","8.23","0","1","0","1.0","1","1","0","1","1","2.28","4.71","9.65","8.43","0.0","0.0","999.0","sa3007934"
"Daniel Figueroa","Indians","0","0","7.97","0","1","0","1.0","1","1","0","1","1","2.33","5.06","10.47","8.21","0.0","0.0","999.0","sa3007900"
"Wilfry Urena","Rays","0","0","7.77","0","1","0","1.0","1","1","0","1","1","2.25","5.11","9.91","8.01","0.0","0.0","999.0","sa3007901"
"Luis Garcia","","0","0","7.97","0","1","0","1.0","1","1","0","0","1","2.24","4.44","9.23","8.04","0.0","0.0","999.0","sa3008677"
"Heylin Taveras","Indians","0","0","8.06","0","1","0","1.0","1","1","0","1","1","2.28","4.56","9.72","8.22","0.0","0.0","999.0","sa3005859"
"Fernando Melo","Rays","0","0","7.44","0","1","0","1.0","1","1","0","1","1","2.35","5.02","11.08","8.02","0.0","0.0","999.0","sa3003162"
"Petter Caty","","0","0","8.02","0","1","0","1.0","1","1","0","1","1","2.38","4.87","10.86","8.24","0.0","0.0","999.0","sa3005861"
"Alberto Gonzalez","Reds","0","0","8.41","0","1","0","1.0","1","1","0","1","1","2.29","5.44","9.87","8.41","0.0","0.0","999.0","sa3007239"
"Jonathan Rivas","Phillies","0","0","8.12","0","1","0","1.0","1","1","0","1","1","2.30","4.89","10.07","8.25","0.0","0.0","999.0","sa3008685"
"Larimel Soriano","","0","0","7.89","0","1","0","1.0","1","1","0","1","1","2.28","4.69","9.93","8.06","0.0","0.0","999.0","sa3003930"
"Adriam Castillo","","0","0","8.10","0","1","0","1.0","1","1","0","1","1","2.28","5.01","9.91","8.25","0.0","0.0","999.0","sa921282"
"Yosmer Curbata","","0","0","7.79","0","1","0","1.0","1","1","0","1","1","2.24","4.68","9.60","8.03","0.0","0.0","999.0","sa3006392"
"Estarlin Rodriguez","Braves","0","0","7.94","0","1","0","1.0","1","1","0","1","1","2.30","4.54","9.79","8.03","0.0","0.0","999.0","sa3004871"
"Luis Peguero","Indians","0","0","8.10","0","1","0","1.0","1","1","0","1","1","2.30","4.97","10.04","8.25","0.0","0.0","999.0","sa3005354"
"Nelcido Ramos","Royals","0","0","8.22","0","1","0","1.0","1","1","0","1","1","2.37","4.59","10.57","8.24","0.0","0.0","999.0","sa3009263"
"Brayan Mejia","Blue Jays","0","0","8.35","0","1","0","1.0","1","1","0","1","1","2.35","4.55","10.28","8.44","0.0","0.0","999.0","sa3003093"
"Johan Cuevas","","0","0","7.76","0","1","0","1.0","1","1","0","1","1","2.27","5.02","10.08","8.05","0.0","0.0","999.0","sa3005238"
"Williams Moreno","","0","0","8.16","0","1","0","1.0","1","1","0","1","1","2.31","4.75","10.01","8.27","0.0","0.0","999.0","sa3006108"
"Johan Martinez","Red Sox","0","0","8.08","0","1","0","1.0","1","1","0","1","1","2.37","5.33","10.94","8.27","0.0","0.0","999.0","sa3005180"
"Robinson Parra","Red Sox","0","0","8.08","0","1","0","1.0","1","1","0","1","1","2.36","4.84","10.64","8.27","0.0","0.0","999.0","sa3007604"
"Miguel Pena","Braves","0","0","8.02","0","1","0","1.0","1","1","0","1","1","2.24","4.71","9.25","8.05","0.0","0.0","999.0","sa3003115"
"Francisco Jimenez","Tigers","0","0","8.15","0","1","0","1.0","1","1","0","1","1","2.32","5.24","10.36","8.28","0.0","0.0","999.0","sa3006517"
"Manuel Cachutt","Reds","0","0","8.46","0","1","0","1.0","1","1","0","1","1","2.34","4.66","9.96","8.46","0.0","0.0","999.0","sa3003133"
"Luis Gamez","","0","0","7.95","0","1","0","1.0","1","1","0","0","1","2.30","3.97","9.61","8.07","0.0","0.0","999.0","sa829025"
"Emilio Ferrebus","","0","0","8.21","0","1","0","1.0","1","1","0","1","1","2.30","4.91","10.00","8.30","0.0","0.0","999.0","sa871486"
"Alex Gallegos","","0","0","8.21","0","1","0","1.0","1","1","0","0","1","2.32","4.28","9.87","8.30","0.0","0.0","999.0","sa3008315"
"Marcos Correa","","0","0","8.18","0","1","0","1.0","1","1","0","1","1","2.31","4.66","9.97","8.30","0.0","0.0","999.0","sa3003128"
"Cristian Lima","","0","0","8.15","0","1","0","1.0","1","1","0","1","1","2.32","4.99","10.26","8.30","0.0","0.0","999.0","sa3006370"
"Jordy Ortega","","0","0","8.20","0","1","0","1.0","1","1","0","1","1","2.30","4.68","9.92","8.31","0.0","0.0","999.0","sa3006589"
"Roy Garcia","Cardinals","0","0","7.99","0","1","0","1.0","1","1","0","1","1","2.33","4.57","10.23","8.12","0.0","0.0","999.0","sa3002941"
"Wilkin Baez","","0","0","7.88","0","1","0","1.0","1","1","0","1","1","2.23","4.99","9.55","8.13","0.0","0.0","999.0","sa3005822"
"Jose Ramirez","Red Sox","0","0","8.13","0","1","0","1.0","1","1","0","1","1","2.36","4.68","10.63","8.32","0.0","0.0","999.0","sa3006702"
"Fausto Pediet","","0","0","8.24","0","1","0","1.0","1","1","0","0","1","2.29","4.44","9.69","8.32","0.0","0.0","999.0","sa3009517"
"Ricardo Velasquez","","0","0","8.18","0","1","0","1.0","1","1","0","1","1","2.33","4.82","10.26","8.32","0.0","0.0","999.0","sa3004654"
"Roybell Santodomingo","Rays","0","0","7.78","0","1","0","1.0","1","1","0","1","1","2.30","5.22","10.52","8.11","0.0","0.0","999.0","sa3006571"
"Frandy Cuevas","Royals","0","0","8.12","0","1","0","1.0","1","1","0","1","1","2.41","5.14","11.32","8.31","0.0","0.0","999.0","sa3009777"
"Johnnie Schneider","Reds","0","0","8.50","0","1","0","1.0","1","1","0","1","1","2.31","5.10","9.83","8.50","0.0","0.0","999.0","sa3007489"
"Jesus Turizo","","0","0","7.89","0","1","0","1.0","1","1","0","0","1","2.23","4.41","9.30","8.14","0.0","0.0","999.0","sa3007938"
"Edward Sosa","","0","0","7.82","0","1","0","1.0","1","1","0","1","1","2.27","4.70","9.81","8.11","0.0","0.0","999.0","sa3009273"
"Euclides Lopez","Indians","0","0","8.20","0","1","0","1.0","1","1","0","1","1","2.38","4.98","10.86","8.36","0.0","0.0","999.0","sa3005860"
"Angel Ozuna","","0","0","8.23","0","1","0","1.0","1","1","0","1","1","2.30","4.70","9.94","8.36","0.0","0.0","999.0","sa3003151"
