jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Christian Pedrol","","0","0","5.48","0","0","0","1.0","1","1","0","1","0","1.53","7.13","4.09","5.56","0.0","0.0","999.0","sa3005351"
"Evan Kruczynski","","0","0","5.33","0","0","0","1.0","1","1","0","1","0","1.55","6.51","4.22","5.56","0.0","0.0","999.0","sa3004341"
"Brandon Lawson","","0","0","5.52","0","0","0","1.0","1","1","0","1","0","1.58","5.47","3.80","5.57","0.0","0.0","999.0","sa918264"
"Elniery Garcia","","0","0","5.37","0","0","0","1.0","1","1","0","1","0","1.56","6.49","4.20","5.57","0.0","0.0","999.0","sa684104"
"Jason Bahr","","0","0","5.45","0","0","0","1.0","1","1","0","1","0","1.53","7.36","4.23","5.57","0.0","0.0","999.0","sa3004744"
"Bryan Sammons","","0","0","5.32","0","0","0","1.0","1","1","0","1","0","1.55","7.14","4.48","5.57","0.0","0.0","999.0","sa3003932"
"Nick Green","Yankees","0","0","5.45","0","0","0","1.0","1","1","0","1","1","1.65","5.91","4.57","5.57","0.0","0.0","999.0","sa738690"
"Asher Wojciechowski","","0","0","5.44","0","0","0","1.0","1","1","0","1","0","1.40","7.92","3.25","5.57","0.0","0.0","600.6","10836"
"Joey Cantillo","","0","0","5.30","0","0","0","1.0","1","1","0","1","1","1.60","7.22","5.03","5.58","0.0","0.0","999.0","sa3005246"
"Trevor Oaks","","0","0","5.52","0","0","0","1.0","1","1","0","1","0","1.55","5.74","3.58","5.58","0.0","0.0","999.0","16468"
"Rollie Lacy","","0","0","5.47","0","0","0","1.0","1","1","0","1","1","1.64","6.40","4.83","5.58","0.0","0.0","999.0","sa913072"
"Parker Curry","Dodgers","0","0","5.42","0","0","0","1.0","1","1","0","1","0","1.44","6.82","3.14","5.58","0.0","0.0","999.0","sa977821"
"Kyle Lloyd","","0","0","5.53","0","0","0","1.0","1","1","0","1","0","1.53","6.24","3.60","5.58","0.0","0.0","999.0","15378"
"Kyle Young","","0","0","5.32","0","0","0","1.0","1","1","0","1","0","1.57","6.18","4.11","5.58","0.0","0.0","999.0","sa918488"
"Aiden McIntyre","","0","0","5.50","0","0","0","1.0","1","1","0","1","1","1.63","7.67","5.47","5.59","0.0","0.0","999.0","sa3007733"
"Austin Bibens-Dirkx","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.49","6.59","3.32","5.59","0.0","0.0","999.0","9559"
"Brody Koerner","Yankees","0","0","5.46","0","0","0","1.0","1","1","0","1","0","1.54","6.21","3.71","5.59","0.0","0.0","999.0","sa875744"
"David Parkinson","","0","0","5.36","0","0","0","1.0","1","1","0","1","0","1.50","7.57","4.00","5.60","0.0","0.0","999.0","sa3004857"
"Clark Beeker","","0","0","5.55","0","0","0","1.0","1","1","0","1","0","1.49","5.91","3.08","5.60","0.0","0.0","999.0","sa918889"
"Justin Nicolino","","0","0","5.43","0","0","0","1.0","1","1","0","1","0","1.50","5.90","3.21","5.60","0.0","0.0","999.0","11754"
"Tommy Parsons","","0","0","5.51","0","0","0","1.0","1","1","0","1","0","1.44","6.24","2.83","5.60","0.0","0.0","999.0","sa3007624"
"Brett Daniels","Astros","0","0","5.45","0","0","0","1.0","1","1","0","1","0","1.55","7.22","4.40","5.60","0.0","0.0","999.0","sa3008127"
"Jose Flores","","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.53","6.81","3.89","5.60","0.0","0.0","999.0","sa503583"
"Alex Faedo","Tigers","0","0","5.55","0","0","0","1.0","1","1","0","1","0","1.43","7.46","3.13","5.60","0.0","0.0","999.0","sa829855"
"Luis Ortiz","","0","0","5.43","0","0","0","1.0","1","1","0","1","0","1.52","6.89","3.98","5.61","0.0","0.0","999.0","16942"
"Peter Solomon","Astros","0","0","5.49","0","0","0","1.0","1","1","0","1","1","1.60","7.03","4.69","5.61","0.0","0.0","999.0","sa829274"
"Cam Vieaux","Pirates","0","0","5.42","0","0","0","1.0","1","1","0","1","0","1.52","6.86","4.03","5.61","0.0","0.0","999.0","sa873657"
"Angel Castro","","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.57","6.28","4.07","5.61","0.0","0.0","999.0","3243"
"Tyler Davis","","0","0","5.53","0","0","0","1.0","1","1","0","1","0","1.51","6.33","3.45","5.62","0.0","0.0","999.0","sa875355"
"Gerson Moreno","Tigers","0","0","5.70","0","0","0","1.0","1","1","0","1","0","1.57","7.54","4.34","5.62","0.0","0.0","999.0","sa736656"
"Johendi Jiminian","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.56","6.23","3.99","5.62","0.0","0.0","999.0","sa550714"
"Eduar Lopez","","0","0","5.55","0","0","0","1.0","1","1","0","1","0","1.56","6.58","4.11","5.62","0.0","0.0","999.0","sa657123"
"Cameron Roegner","","0","0","5.37","0","0","0","1.0","1","1","0","1","0","1.54","6.35","3.96","5.62","0.0","0.0","999.0","sa918493"
"Spenser Watkins","","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.50","6.59","3.51","5.62","0.0","0.0","999.0","sa829520"
"R.A. Dickey","","0","0","5.45","0","0","0","1.0","1","1","0","1","0","1.49","6.16","3.30","5.62","0.0","0.0","999.0","1245"
"Ian McKinney","","0","0","5.23","0","0","0","1.0","1","1","0","1","1","1.54","7.44","4.65","5.62","0.0","0.0","999.0","sa738318"
"Kyle Leahy","","0","0","5.52","0","0","0","1.0","1","1","0","1","0","1.53","5.76","3.56","5.62","0.0","0.0","999.0","sa3007241"
"Tyler Jones","Marlins","0","0","5.51","0","0","0","1.0","1","1","0","1","1","1.63","6.45","4.87","5.62","0.0","0.0","999.0","sa3007999"
"Pedro Payano","","0","0","5.45","0","0","0","1.0","1","1","0","1","1","1.55","7.42","4.59","5.63","0.0","0.0","999.0","18313"
"Bryan Valdez","Diamondbacks","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.53","5.69","3.30","5.63","0.0","0.0","999.0","sa919377"
"Colton Eastman","Phillies","0","0","5.50","0","0","0","1.0","1","1","0","1","0","1.49","7.53","3.79","5.63","0.0","0.0","999.0","sa3008312"
"Evan Mitchell","","0","0","5.58","0","0","0","1.0","1","1","0","1","0","1.59","6.22","4.21","5.63","0.0","0.0","999.0","sa708969"
"Jason Garcia","","0","0","5.49","0","0","0","1.0","1","1","0","1","0","1.56","6.52","4.25","5.63","0.0","0.0","999.0","12143"
"Tim Brennan","Rangers","0","0","5.60","0","0","0","1.0","1","1","0","1","0","1.58","4.92","3.46","5.63","0.0","0.0","999.0","sa3008630"
"Kenny Rosenberg","Rays","0","0","5.26","0","0","0","1.0","1","1","0","1","1","1.55","6.73","4.59","5.63","0.0","0.0","999.0","sa918105"
"Norwith Gudino","Giants","0","0","5.57","0","0","0","1.0","1","1","0","1","0","1.57","6.55","4.30","5.64","0.0","0.0","999.0","sa872808"
"Anthony Marzi","","0","0","5.45","0","0","0","1.0","1","1","0","1","0","1.51","6.61","3.64","5.64","0.0","0.0","999.0","sa884740"
"Bryan Mitchell","","0","0","5.57","0","0","0","1.0","1","1","0","1","0","1.62","6.03","4.43","5.64","0.0","0.0","999.0","11479"
"Logan Bawcom","","0","0","5.58","0","0","0","1.0","1","1","0","1","0","1.50","6.77","3.54","5.65","0.0","0.0","999.0","sa549287"
"Shumpei Yoshikawa","Diamondbacks","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.55","6.54","3.87","5.65","0.0","0.0","999.0","sa3008654"
"A.J. Ladwig","Tigers","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.47","6.17","2.75","5.65","0.0","0.0","999.0","sa602810"
"Edgar Arredondo","Diamondbacks","0","0","5.59","0","0","0","1.0","1","1","0","1","0","1.48","6.43","3.25","5.65","0.0","0.0","999.0","sa732750"
"Turner Larkins","","0","0","5.58","0","0","0","1.0","1","1","0","1","0","1.53","6.37","3.72","5.65","0.0","0.0","999.0","sa829565"
"Heath Holder","Rockies","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.50","7.78","3.91","5.66","0.0","0.0","999.0","sa602623"
"Willy Ortiz","","0","0","5.51","0","0","0","1.0","1","1","0","1","0","1.54","6.94","4.21","5.66","0.0","0.0","999.0","sa701548"
"Mike Kaelin","","0","0","5.57","0","0","0","1.0","1","1","0","1","0","1.53","7.28","4.14","5.66","0.0","0.0","999.0","sa915643"
"Bowden Francis","","0","0","5.46","0","0","0","1.0","1","1","0","1","0","1.49","7.42","3.97","5.66","0.0","0.0","999.0","sa918451"
"Josh Lowey","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.54","6.33","3.88","5.66","0.0","0.0","999.0","sa560990"
"Carlos Zambrano","","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.53","6.18","3.46","5.67","0.0","0.0","999.0","305"
"Matt Garza","","0","0","5.65","0","0","0","1.0","1","1","0","1","0","1.55","5.90","3.54","5.67","0.0","0.0","999.0","3340"
"Luke Heimlich","","0","0","5.43","0","0","0","1.0","1","1","0","1","1","1.63","5.78","4.54","5.67","0.0","0.0","999.0","sa3008629"
"Bartolo Colon","","0","0","5.66","0","0","0","1.0","1","1","0","1","0","1.46","5.36","2.17","5.67","0.0","0.0","999.0","375"
"Mickey Jannis","Orioles","0","0","5.45","0","0","0","1.0","1","1","0","1","0","1.49","6.01","3.33","5.68","0.0","0.0","999.0","sa550198"
"Connor Eller","","0","0","5.62","0","0","0","1.0","1","1","0","1","0","1.57","6.21","3.92","5.68","0.0","0.0","999.0","sa918513"
"Brian Keller","Yankees","0","0","5.58","0","0","0","1.0","1","1","0","1","0","1.49","6.77","3.32","5.68","0.0","0.0","999.0","sa918951"
"Josh Maciejewski","Yankees","0","0","5.46","0","0","0","1.0","1","1","0","1","0","1.56","6.82","4.20","5.68","0.0","0.0","999.0","sa3007581"
"Sam Tewes","","0","0","5.65","0","0","0","1.0","1","1","0","1","0","1.53","6.24","3.51","5.68","0.0","0.0","999.0","sa738268"
"Tim Cate","","0","0","5.48","0","0","0","1.0","1","1","0","1","0","1.61","5.92","4.35","5.68","0.0","0.0","999.0","sa3007926"
"Jake McCasland","","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.55","6.32","3.85","5.68","0.0","0.0","999.0","sa550079"
"Tommy Wilson","Mets","0","0","5.45","0","0","0","1.0","1","1","0","1","0","1.46","6.95","3.56","5.69","0.0","0.0","999.0","sa3008072"
"Jon Perrin","","0","0","5.64","0","0","0","1.0","1","1","0","1","0","1.55","6.76","4.02","5.69","0.0","0.0","999.0","sa829664"
"Jhonathan Diaz","","0","0","5.51","0","0","0","1.0","1","1","0","1","1","1.64","6.09","4.84","5.69","0.0","0.0","999.0","sa828483"
"Andrew Wantz","Angels","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.54","7.90","4.42","5.69","0.0","0.0","999.0","sa3006703"
"Oliver Ortega","Angels","0","0","5.57","0","0","0","1.0","1","1","0","1","1","1.60","7.95","5.06","5.69","0.0","0.0","999.0","sa872800"
"Tyler Jackson","","0","0","5.62","0","0","0","1.0","1","1","0","1","0","1.53","6.40","3.70","5.69","0.0","0.0","999.0","sa3004743"
"Jordan Barrett","","0","0","5.52","0","0","0","1.0","1","1","0","1","0","1.57","6.67","4.23","5.69","0.0","0.0","999.0","sa3004349"
"Gus Varland","Athletics","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.59","6.65","4.42","5.69","0.0","0.0","999.0","sa3007779"
"Nick Raquet","","0","0","5.46","0","0","0","1.0","1","1","0","1","1","1.65","5.61","4.68","5.69","0.0","0.0","999.0","sa3004658"
"Yasutomo Kubo","","0","0","5.65","0","0","0","1.0","1","1","0","1","0","1.51","5.97","3.22","5.69","0.0","0.0","999.0","sa3008604"
"Romario Gil","","0","0","5.44","0","0","0","1.0","1","1","0","1","1","1.65","5.96","4.89","5.70","0.0","0.0","999.0","sa3002591"
"Denyi Reyes","","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.45","6.37","2.91","5.70","0.0","0.0","999.0","sa872864"
"Edwin Jackson","","0","0","5.64","0","0","0","1.0","1","1","0","1","0","1.53","7.13","3.89","5.70","0.0","0.0","999.0","1841"
"Andrew Sopko","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.49","6.66","3.54","5.70","0.0","0.0","999.0","sa658286"
"Ricky Nolasco","","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.54","6.59","3.73","5.71","0.0","0.0","999.0","3830"
"Jason Vargas","","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.51","6.57","3.62","5.71","0.0","0.0","999.0","8044"
"Teddy Stankiewicz","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.47","6.39","3.14","5.71","0.0","0.0","999.0","sa657954"
"Thad Ward","Red Sox","0","0","5.72","0","0","0","1.0","1","1","0","1","1","1.66","7.08","5.31","5.71","0.0","0.0","999.0","sa3008098"
"Daniel McGrath","","0","0","5.43","0","0","0","1.0","1","1","0","1","0","1.54","7.19","4.42","5.72","0.0","0.0","999.0","sa739598"
"Josh Turley","","0","0","5.64","0","0","0","1.0","1","1","0","1","1","1.64","6.98","4.97","5.72","0.0","0.0","999.0","sa503159"
"Tyler Pill","","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.53","6.04","3.46","5.72","0.0","0.0","999.0","12751"
"Steven Bruce","","0","0","5.66","0","0","0","1.0","1","1","0","1","0","1.57","5.59","3.73","5.72","0.0","0.0","999.0","sa919819"
"Josh Roeder","","0","0","5.60","0","0","0","1.0","1","1","0","1","0","1.52","6.21","3.55","5.72","0.0","0.0","999.0","sa875299"
"Jon Niese","","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.55","5.61","3.51","5.72","0.0","0.0","999.0","4424"
"Aaron Leasher","Padres","0","0","5.49","0","0","0","1.0","1","1","0","1","0","1.56","6.81","4.41","5.72","0.0","0.0","999.0","sa3004701"
"Erick Leal","","0","0","5.64","0","0","0","1.0","1","1","0","1","0","1.53","7.20","4.04","5.72","0.0","0.0","999.0","sa657825"
"Jose Martinez","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.59","5.80","4.19","5.72","0.0","0.0","999.0","sa3002796"
"Dedgar Jimenez","","0","0","5.47","0","0","0","1.0","1","1","0","1","1","1.59","6.96","4.69","5.73","0.0","0.0","999.0","sa736925"
"Luis Ysla","","0","0","5.48","0","0","0","1.0","1","1","0","1","1","1.61","7.46","5.15","5.73","0.0","0.0","999.0","sa739569"
"Jake Wong","Giants","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.62","5.86","4.47","5.73","0.0","0.0","999.0","sa3008100"
"Alejandro Requena","","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.54","7.04","4.06","5.73","0.0","0.0","999.0","sa828724"
"Harold Arauz","","0","0","5.65","0","0","0","1.0","1","1","0","1","0","1.55","6.04","3.74","5.73","0.0","0.0","999.0","sa657710"
"Erik Johnson","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.51","6.75","3.45","5.73","0.0","0.0","999.0","12520"
"Edgar Gonzalez","","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.51","5.24","2.90","5.73","0.0","0.0","999.0","1727"
"Dan Straily","","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.45","7.39","3.28","5.74","0.0","0.0","999.0","9460"
"Henderson Alvarez","","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.55","5.42","3.41","5.74","0.0","0.0","999.0","5669"
"Matt Frisbee","Giants","0","0","5.66","0","0","0","1.0","1","1","0","1","0","1.53","6.92","4.11","5.74","0.0","0.0","999.0","sa3006801"
"Zach Logue","Blue Jays","0","0","5.55","0","0","0","1.0","1","1","0","1","0","1.51","6.36","3.59","5.74","0.0","0.0","999.0","sa915822"
"Terance Marin","","0","0","5.65","0","0","0","1.0","1","1","0","0","0","1.61","4.43","3.64","5.74","0.0","0.0","999.0","sa556821"
"Tyler Palm","Twins","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.60","6.00","4.19","5.74","0.0","0.0","999.0","sa3007270"
"Jake Lee","Angels","0","0","5.68","0","0","0","1.0","1","1","0","1","0","1.60","6.89","4.46","5.74","0.0","0.0","999.0","sa3006766"
"Kodi Medeiros","","0","0","5.37","0","0","0","1.0","1","1","0","1","1","1.58","7.63","4.95","5.74","0.0","0.0","999.0","sa828664"
"Daniel Rodriguez","","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.60","6.11","4.26","5.74","0.0","0.0","999.0","sa509281"
"Riley O'Brien","Reds","0","0","5.66","0","0","0","1.0","1","1","0","1","1","1.59","7.72","4.80","5.74","0.0","0.0","999.0","sa3004210"
"Abdiel Saldana","","0","0","5.68","0","0","0","1.0","1","1","0","1","0","1.61","6.14","4.30","5.74","0.0","0.0","999.0","sa828523"
"Reid Anderson","","0","0","5.63","0","0","0","1.0","1","1","0","1","1","1.72","5.61","5.22","5.74","0.0","0.0","999.0","sa918378"
"Danny Salazar","","0","0","5.64","0","0","0","1.0","1","1","0","1","0","1.56","6.24","3.83","5.75","0.0","0.0","999.0","5867"
"John Parke","","0","0","5.47","0","0","0","1.0","1","1","0","1","0","1.55","5.33","3.42","5.75","0.0","0.0","999.0","sa3003988"
"Michael Gibbons","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.56","6.85","4.17","5.75","0.0","0.0","999.0","sa876538"
"Alex Delgado","","0","0","5.55","0","0","0","1.0","1","1","0","1","0","1.60","5.55","4.08","5.75","0.0","0.0","999.0","sa594882"
"Sean Brady","","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.59","5.42","3.85","5.75","0.0","0.0","999.0","sa737808"
"Justin Dillon","Mets","0","0","5.53","0","0","0","1.0","1","1","0","1","0","1.48","6.11","3.32","5.76","0.0","0.0","999.0","sa659283"
"Dustin Crenshaw","","0","0","5.71","0","0","0","1.0","1","1","0","1","0","1.56","5.15","3.31","5.76","0.0","0.0","999.0","sa3001062"
"Cameron Mingo","","0","0","5.68","0","0","0","1.0","1","1","0","1","0","1.52","6.00","3.39","5.76","0.0","0.0","999.0","sa945471"
"Christian James","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.63","5.56","4.27","5.76","0.0","0.0","999.0","sa918327"
"Kai-Wei Teng","Giants","0","0","5.73","0","0","0","1.0","1","1","0","1","1","1.67","6.02","4.96","5.76","0.0","0.0","999.0","sa3007229"
"Cody Morris","Indians","0","0","5.67","0","0","0","1.0","1","1","0","1","0","1.57","6.74","4.28","5.77","0.0","0.0","999.0","sa3008653"
"Max Herrmann","","0","0","5.55","0","0","0","1.0","1","1","0","1","1","1.66","5.77","4.77","5.77","0.0","0.0","999.0","sa3005259"
"Kevin McAvoy","","0","0","5.65","0","0","0","1.0","1","1","0","1","1","1.65","7.01","5.26","5.77","0.0","0.0","999.0","sa827491"
"Jose Lopez","","0","0","5.64","0","0","0","1.0","1","1","0","1","0","1.49","7.09","3.69","5.77","0.0","0.0","999.0","sa709715"
"Justin Donatella","","0","0","5.72","0","0","0","1.0","1","1","0","1","0","1.55","6.55","3.98","5.78","0.0","0.0","999.0","sa875616"
"Pedro Fernandez","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.56","6.18","3.88","5.78","0.0","0.0","999.0","sa657697"
"Frank Garces","","0","0","5.59","0","0","0","1.0","1","1","0","1","0","1.55","6.02","3.77","5.78","0.0","0.0","999.0","13144"
"Tim Melville","","0","0","5.71","0","0","0","1.0","1","1","0","1","0","1.54","6.71","3.85","5.78","0.0","0.0","999.0","9149"
"Adam Oller","","0","0","5.73","0","0","0","1.0","1","1","0","1","0","1.63","5.69","4.41","5.78","0.0","0.0","999.0","sa913099"
"Andres Santiago","","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.58","6.25","4.10","5.78","0.0","0.0","999.0","sa389212"
"Arturo Lopez","","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.54","5.51","3.39","5.79","0.0","0.0","999.0","3319"
"Chase De Jong","Pirates","0","0","5.70","0","0","0","1.0","1","1","0","1","0","1.52","6.79","3.79","5.79","0.0","0.0","999.0","15036"
"Stephen Woods Jr.","","0","0","5.57","0","0","0","1.0","1","1","0","1","1","1.64","6.00","4.86","5.79","0.0","0.0","999.0","sa737853"
"Hector Ambriz","","0","0","5.73","0","0","0","1.0","1","1","0","1","0","1.54","5.51","3.36","5.79","0.0","0.0","999.0","559"
"Reiss Knehr","Padres","0","0","5.69","0","0","0","1.0","1","1","0","1","1","1.65","6.95","5.17","5.80","0.0","0.0","999.0","sa3006952"
"Spencer Jones","","0","0","5.75","0","0","0","1.0","1","1","0","1","0","1.55","6.03","3.66","5.80","0.0","0.0","999.0","sa918190"
"Gavin Wallace","","0","0","5.75","0","0","0","1.0","1","1","0","1","0","1.60","5.00","3.77","5.80","0.0","0.0","999.0","sa3004102"
"Frank Duncan","","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.54","5.44","3.32","5.80","0.0","0.0","999.0","sa738963"
"Bennett Parry","","0","0","5.63","0","0","0","1.0","1","1","0","1","1","1.63","6.27","4.61","5.80","0.0","0.0","999.0","sa599520"
"Chris Huffman","","0","0","5.71","0","0","0","1.0","1","1","0","1","0","1.57","6.15","4.00","5.80","0.0","0.0","999.0","sa709509"
"Christian Torres","","0","0","5.59","0","0","0","1.0","1","1","0","1","1","1.65","5.87","4.70","5.80","0.0","0.0","999.0","sa918696"
"James Shields","","0","0","5.77","0","0","0","1.0","1","1","0","1","0","1.51","6.99","3.53","5.80","0.0","0.0","999.0","7059"
"Tommy Romero","","0","0","5.50","0","0","0","1.0","1","1","0","1","0","1.53","6.84","4.32","5.80","0.0","0.0","999.0","sa3004469"
"Alexander Vargas","","0","0","5.72","0","0","0","1.0","1","1","0","1","0","1.53","5.38","3.24","5.81","0.0","0.0","999.0","sa835895"
"Zach Lovvorn","","0","0","5.74","0","0","0","1.0","1","1","0","1","0","1.60","6.08","4.18","5.81","0.0","0.0","999.0","sa658011"
"Alex Lange","Tigers","0","0","5.79","0","0","0","1.0","1","1","0","1","1","1.62","6.46","4.52","5.81","0.0","0.0","999.0","sa3005280"
"Kirk McCarty","","0","0","5.61","0","0","0","1.0","1","1","0","1","0","1.58","6.35","4.22","5.82","0.0","0.0","999.0","sa915824"
"Hogan Harris","","0","0","5.67","0","0","0","1.0","1","1","0","1","1","1.64","6.54","4.97","5.82","0.0","0.0","999.0","sa3009982"
"Tom Koehler","","0","0","5.80","0","0","0","1.0","1","1","0","1","0","1.56","7.00","3.94","5.82","0.0","0.0","999.0","6570"
"Lake Bachar","Padres","0","0","5.69","0","0","0","1.0","1","1","0","1","1","1.58","6.84","4.52","5.82","0.0","0.0","999.0","sa917993"
"Esmil Rogers","","0","0","5.77","0","0","0","1.0","1","1","0","1","0","1.57","5.89","3.79","5.82","0.0","0.0","999.0","6317"
"Shawn Semple","Yankees","0","0","5.71","0","0","0","1.0","1","1","0","1","0","1.55","6.74","3.92","5.82","0.0","0.0","999.0","sa3004661"
"Vance Worley","","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.60","5.44","3.74","5.83","0.0","0.0","999.0","6435"
"Miguel Gonzalez","","0","0","5.85","0","0","0","1.0","1","1","0","1","0","1.53","5.70","3.27","5.83","0.0","0.0","999.0","7024"
"Orlando Lara","","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.59","6.15","4.21","5.83","0.0","0.0","999.0","sa328299"
"Noah Bremer","","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.65","5.93","4.64","5.83","0.0","0.0","999.0","sa915571"
"Carson LaRue","Astros","0","0","5.69","0","0","0","1.0","1","1","0","1","0","1.52","6.62","3.75","5.83","0.0","0.0","999.0","sa918324"
"Seth Simmons","","0","0","5.78","0","0","0","1.0","1","1","0","1","0","1.53","6.92","3.85","5.83","0.0","0.0","999.0","sa598797"
"Troy Scribner","","0","0","5.77","0","0","0","1.0","1","1","0","1","0","1.53","6.95","3.90","5.83","0.0","0.0","999.0","15570"
"Austin Hansen","Astros","0","0","5.65","0","0","0","1.0","1","1","0","1","1","1.66","7.85","5.69","5.84","0.0","0.0","999.0","sa3006956"
"Mike Pelfrey","","0","0","5.80","0","0","0","1.0","1","1","0","1","1","1.66","5.74","4.56","5.84","0.0","0.0","999.0","5203"
"Taylor Braley","","0","0","5.78","0","0","0","1.0","1","1","0","1","0","1.61","4.98","3.72","5.84","0.0","0.0","999.0","sa3005145"
"Jorge Castillo","","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.61","5.87","4.29","5.84","0.0","0.0","999.0","sa508060"
"Conner Greene","","0","0","5.82","0","0","0","1.0","1","1","0","1","1","1.69","6.33","5.23","5.85","0.0","0.0","999.0","sa737829"
"Jordan Johnson","","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.62","6.70","4.67","5.85","0.0","0.0","999.0","sa602658"
"Josh Outman","","0","0","5.66","0","0","0","1.0","1","1","0","1","1","1.60","6.71","4.65","5.85","0.0","0.0","999.0","4004"
"Hisashi Iwakuma","","0","0","5.81","0","0","0","1.0","1","1","0","1","0","1.52","5.88","3.22","5.86","0.0","0.0","999.0","13048"
"Cesar Carrillo","","0","0","5.82","0","0","0","1.0","1","1","0","1","0","1.58","5.71","3.78","5.86","0.0","0.0","999.0","4697"
"Josh Winckowski","Blue Jays","0","0","5.83","0","0","0","1.0","1","1","0","1","1","1.66","5.72","4.59","5.86","0.0","0.0","999.0","sa918379"
"Walter Silva","","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.60","4.95","3.65","5.87","0.0","0.0","999.0","5157"
"Tyler Keele","","0","0","5.76","0","0","0","1.0","1","1","0","1","0","1.52","6.86","3.78","5.87","0.0","0.0","999.0","sa918336"
"Tanner Dodson","Rays","0","0","5.65","0","0","0","1.0","1","1","0","1","1","1.67","6.02","5.12","5.87","0.0","0.0","999.0","sa3007008"
"Alexis Rivero","","0","0","5.75","0","0","0","1.0","1","1","0","1","0","1.59","6.65","4.38","5.87","0.0","0.0","999.0","sa735860"
"Logan Shore","","0","0","5.88","0","0","0","1.0","1","1","0","1","0","1.58","5.73","3.70","5.87","0.0","0.0","999.0","sa738442"
"Scott Sunitsch","Brewers","0","0","5.57","0","0","0","1.0","1","1","0","1","1","1.62","5.94","4.62","5.87","0.0","0.0","999.0","sa3007251"
"P.J. Conlon","","0","0","5.68","0","0","0","1.0","1","1","0","1","0","1.55","6.19","3.79","5.87","0.0","0.0","999.0","18213"
"Marcos Molina","","0","0","5.80","0","0","0","1.0","1","1","0","1","0","1.56","5.99","3.77","5.88","0.0","0.0","999.0","sa657917"
"Logan Duran","","0","0","5.84","0","0","0","1.0","1","1","0","1","0","1.62","5.69","4.10","5.88","0.0","0.0","999.0","sa529273"
"Eduardo Vera","","0","0","5.77","0","0","0","1.0","1","1","0","1","0","1.50","5.90","3.14","5.88","0.0","0.0","999.0","sa657658"
"Enmanuel De Jesus","","0","0","5.70","0","0","0","1.0","1","1","0","1","0","1.60","6.10","4.38","5.88","0.0","0.0","999.0","sa828317"
"Gabe Mosser","Padres","0","0","5.79","0","0","0","1.0","1","1","0","1","0","1.59","6.05","4.21","5.88","0.0","0.0","999.0","sa3006834"
"Michael Grove","","0","0","5.72","0","0","0","1.0","1","1","0","1","0","1.56","7.03","4.37","5.88","0.0","0.0","999.0","sa3008625"
"Denny Brady","","0","0","5.76","0","0","0","1.0","1","1","0","1","1","1.61","6.61","4.52","5.89","0.0","0.0","999.0","sa3004347"
"Tommy Bergjans","","0","0","5.83","0","0","0","1.0","1","1","0","1","0","1.51","6.14","3.25","5.90","0.0","0.0","999.0","sa875211"
