Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Adam Engel","SDP",5,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,"Adam Engel",15082,641553
"Meibrys Viloria","CLE",10,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Meibrys Viloria",17109,650619
"Josh Sborz","TEX",44,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Josh Sborz",18323,622250
"Chris Okey","LAA",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Chris Okey",19245,608360
"Rylan Bannon","HOU",2,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Rylan Bannon",19768,676625
"Caleb Hamilton","BOS",4,5,6,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,"Caleb Hamilton",19842,643348
"Diego Castillo","ARI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Diego Castillo",19906,660636
"Tres Barrera","STL",6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tres Barrera",19977,668663
"Irving Lopez","STL",5,11,12,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,"Irving Lopez",20463,676761
"Connor Kaiser","COL",3,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Connor Kaiser",21535,663731
"Cal Mitchell","PIT",2,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Cal Mitchell",22169,668751
"Mason McCoy","TOR",6,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,"Mason McCoy",22232,669200
"Cal Stevenson","SFG",6,9,12,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,"Cal Stevenson",22411,670276
"Michael Siani","- - -",8,5,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,"Michael Siani",22557,672279
"Chandler Seagle","SDP",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chandler Seagle",23552,676882
"Braden Shewmake","ATL",2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Braden Shewmake",25817,669699
"Pete Crow-Armstrong","CHC",13,14,19,0,0,0,0,0,3,1,3,0,7,0,0,2,0,2,2,0,"Pete Crow-Armstrong",27769,691718
