"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Miguel Vargas","LAD","125","559","511","137","26","2","21","68","71","35","102","4","8","1","",".268",".317",".450",".767",".328","","0.7","2.7","","5.7","4.8","2.9","sa3006896"
"Max Muncy","LAD","128","516","433","106","21","1","29","79","93","73","121","8","2","1","",".245",".362",".499",".861",".367","","-0.5","0.6","","20.5","-8.9","2.9","13301"
"DJ LeMahieu","NYY","130","587","532","149","24","2","12","79","58","48","78","3","4","2","",".280",".341",".400",".741",".323","","-0.6","3.5","","3.1","5.7","2.9","9874"
"Willy Adames","MIL","144","566","508","128","27","2","24","74","69","54","167","1","5","4","",".252",".324",".455",".779",".334","","-1.1","0.0","","3.6","6.2","2.9","15986"
"Brandon Nimmo","NYM","100","399","331","86","18","4","11","51","34","57","86","9","4","3","",".260",".382",".438",".820",".359","","-0.9","-1.0","","14.6","0.5","2.8","12927"
"Whit Merrifield","KCR","141","628","583","164","34","5","10","80","57","34","91","5","25","6","",".281",".323",".408",".731",".315","","2.0","5.1","","-0.5","7.4","2.8","11281"
"Kris Bryant","","129","555","484","125","30","2","21","76","65","57","126","12","6","2","",".258",".350",".459",".808",".348","","-0.1","-6.3","","14.0","-4.3","2.8","15429"
"Enrique Hernández","BOS","133","506","448","116","27","3","19","69","61","47","96","6","1","0","",".259",".334",".460",".794",".339","","-0.2","2.3","","6.7","4.2","2.8","10472"
"Akil Baddoo","DET","130","487","432","113","23","8","17","68","62","52","128","0","19","4","",".262",".339",".470",".809",".345","","1.7","-3.6","","13.1","-1.8","2.8","22168"
"Gleyber Torres","NYY","137","556","492","127","24","0","21","66","72","54","120","3","9","3","",".258",".332",".435",".767",".330","","0.1","-4.1","","6.8","2.0","2.8","16997"
"Nicky Lopez","KCR","140","546","487","132","24","5","4","66","39","44","72","4","13","3","",".271",".335",".366",".701",".309","","0.8","6.8","","-3.7","12.8","2.8","19339"
"Francisco Álvarez","NYM","97","388","341","81","13","0","27","55","74","34","107","5","4","2","",".238",".313",".513",".826",".348","","-0.3","-3.5","","11.1","3.6","2.8","sa3010862"
