"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Travis Jones","","74","272","240","52","9","1","5","30","20","23","76","8","6","3","",".217",".305",".325",".630",".283","","-0.3","-0.1","","-8.5","0.9","0.2","sa829805"
"Miguel Aparicio","TEX","85","317","290","67","13","3","11","37","37","18","77","4","3","2","",".231",".283",".410",".694",".298","","-0.5","-0.6","","-5.0","-4.1","0.2","sa917275"
"Renae Martinez","ARI","75","305","277","56","14","0","7","30","26","23","88","4","1","1","",".202",".272",".329",".601",".266","","-0.4","1.2","","-15.3","6.8","0.2","sa3004255"
"Robbie Tenerowicz","CIN","84","323","290","66","13","1","10","36","35","19","86","8","3","3","",".228",".291",".383",".673",".293","","-0.9","0.4","","-10.7","1.6","0.2","sa738999"
"Estevan Florial","NYY","95","401","359","72","15","2","13","42","40","36","138","2","10","6","",".201",".276",".362",".638",".278","","-0.8","-0.5","","-13.0","1.0","0.2","19151"
"Daniel Palka","NYM","109","432","386","84","16","1","16","50","51","42","111","1","3","1","",".218",".295",".389",".683",".295","","-0.1","-1.6","","-6.4","-6.4","0.2","14897"
"Harold Ramirez","CHC","117","443","417","113","25","2","11","48","52","18","81","6","4","1","",".271",".309",".420",".729",".313","","0.0","-4.5","","-3.8","-9.4","0.1","14387"
"Anthony Mulrine","LAA","57","202","177","34","6","0","4","23","16","14","52","9","0","1","",".192",".284",".294",".577",".262","","-0.6","0.6","","-9.7","4.3","0.1","sa1170373"
"Logan Morrison","","57","191","173","42","10","0","8","24","26","14","36","3","0","0","",".243",".309",".439",".748",".322","","-0.1","0.0","","-1.3","-3.5","0.1","9205"
"Tanner Morris","TOR","95","430","386","88","17","2","8","57","37","36","98","4","2","1","",".228",".299",".345",".644",".283","","-0.4","-0.7","","-14.0","0.9","0.1","sa3009873"
"Zach Green","","90","341","304","61","16","1","15","40","46","29","130","4","0","1","",".201",".277",".408",".685",".295","","-0.6","-2.4","","-8.7","-1.1","0.1","14973"
"Carter Bins","PIT","66","288","247","51","8","0","7","41","25","34","85","5","2","2","",".206",".314",".324",".637",".288","","-0.7","-5.1","","-8.3","0.2","0.1","sa1115884"
"Nick Martini","","87","327","287","71","10","2","7","41","32","32","70","6","1","1","",".247",".333",".369",".703",".310","","-0.5","-1.7","","-4.1","-5.3","0.1","12005"
"Jason Kipnis","","84","335","301","69","14","1","9","33","36","26","68","3","3","1","",".229",".294",".372",".666",".289","","-0.1","-0.9","","-10.0","0.3","0.1","9776"
"José Briceño","","33","112","103","24","4","0","5","12","13","5","26","1","1","0","",".233",".273",".417",".690",".294","","0.1","-0.1","","-4.3","2.0","0.1","13151"
"Drew Mount","CIN","66","259","242","58","9","2","10","26","29","13","75","3","4","3","",".240",".286",".417",".703",".301","","-0.6","2.3","","-6.6","-0.6","0.1","sa3006728"
"Mark Kolozsvary","CIN","65","247","217","39","9","1","7","25","23","21","88","8","0","1","",".180",".275",".327",".602",".269","","-0.6","1.6","","-12.9","6.1","0.1","sa3004996"
"Chuckie Robinson","CIN","77","293","268","57","10","1","9","29","27","20","80","4","3","1","",".213",".276",".358",".635",".277","","0.0","-1.1","","-12.6","4.3","0.1","sa918471"
"Trevor Hauver","TEX","102","452","407","91","17","1","14","62","48","41","130","2","1","0","",".224",".297",".373",".671",".294","","-0.1","-7.5","","-8.1","-5.8","0.1","sa3014448"
"Brian O'Grady","","108","398","355","74","17","2","14","43","44","34","117","4","8","3","",".208",".283",".386",".669",".288","","0.1","1.8","","-9.2","-2.6","0.1","16729"
"Blake Hunt","TBR","79","329","300","57","13","1","7","31","27","25","98","2","1","0","",".190",".256",".310",".566",".250","","0.0","0.0","","-15.8","6.0","0.1","sa3004153"
"Chris Okey","CIN","62","197","177","36","7","1","7","22","22","16","63","2","0","0","",".203",".276",".373",".648",".280","","-0.1","-0.6","","-8.2","3.0","0.1","sa738505"
"Beau Taylor","","69","238","209","42","9","1","4","26","18","24","64","3","0","0","",".201",".291",".311",".602",".269","","-0.2","-1.5","","-9.6","2.9","0.1","12384"
"Derek Hill","DET","103","389","359","84","11","4","9","44","32","23","123","4","12","7","",".234",".287",".362",".649",".283","","-0.8","-1.6","","-11.7","-0.2","0.1","16947"
"José Devers","MIA","45","140","127","30","6","1","1","16","11","9","27","2","1","0","",".236",".295",".323",".618",".274","","0.1","-0.1","","-4.7","1.4","0.1","20540"
"Forrest Wall","","95","408","371","81","17","3","8","41","29","31","119","4","18","4","",".218",".285",".345",".630",".276","","1.6","-0.2","","-13.8","1.3","0.1","sa828682"
"Bryce Windham","CHC","51","202","183","45","8","1","2","28","16","17","31","0","2","1","",".246",".308",".333",".642",".284","","-0.2","0.6","","-6.7","1.3","0.1","sa3010403"
"Corey Ray","MIL","62","263","240","50","13","1","8","27","24","20","93","2","5","2","",".208",".274",".371",".645",".278","","0.0","0.3","","-8.9","1.3","0.1","19170"
"Trevor Larnach","MIN","104","426","376","83","18","1","13","43","42","39","141","8","2","0","",".221",".305",".378",".683",".299","","0.1","-2.2","","-6.3","-6.9","0.1","21501"
"Jake Alu","WSN","90","341","320","77","14","1","8","37","31","17","80","2","7","2","",".241",".282",".366",".648",".281","","0.3","0.5","","-11.7","1.8","0.1","sa3010009"
"John Nogowski","ATL","104","384","336","80","15","0","8","47","41","38","57","7","3","1","",".238",".326",".354",".680",".302","","-0.2","3.0","","-7.4","-4.1","0.1","16852"
"Norel Gonzalez","HOU","83","336","309","77","19","0","11","42","40","22","67","3","4","3","",".249",".304",".417",".722",".310","","-0.7","-2.6","","-1.4","-8.8","0.1","sa3014819"
"Esteury Ruiz","SDP","93","379","345","76","16","1","11","44","39","24","94","6","23","7","",".220",".281",".368",".649",".283","","1.4","1.9","","-9.0","-2.3","0.1","sa917030"
"Yolmer Sánchez","","113","420","378","87","17","3","6","45","35","32","95","5","5","3","",".230",".297",".339",".636",".281","","-0.6","1.7","","-15.9","3.2","0.1","11602"
"Chris Herrmann","","42","150","134","28","6","1","4","15","14","13","44","1","0","0","",".209",".282",".358",".640",".277","","-0.1","-0.8","","-5.8","2.0","0.1","9284"
"Ryan Noda","LAD","110","452","389","77","17","1","19","54","65","50","159","7","4","1","",".198",".298",".393",".691",".300","","0.1","1.2","","-6.6","-7.1","0.1","sa873960"
"Nick Ciuffo","","40","145","132","27","7","0","4","13","14","10","48","0","1","0","",".205",".257",".348",".605",".262","","0.1","0.4","","-6.8","3.1","0.1","16291"
"Narciso Crook","CHC","101","346","311","68","15","3","11","40","42","27","105","6","6","2","",".219",".293",".392",".685",".298","","0.1","0.8","","-7.2","-3.0","0.1","sa738300"
"Corban Joseph","","86","338","314","79","17","1","6","35","34","19","45","2","1","0","",".252",".296",".369",".665",".288","","-0.1","-1.0","","-10.2","0.2","0.1","5503"
"Josh Ockimey","","102","388","330","69","16","1","15","50","43","50","132","3","0","1","",".209",".316",".400",".716",".313","","-0.7","-0.9","","-4.0","-8.0","0.1","sa829375"
"Abraham Almonte","","84","286","250","56","17","2","8","37","29","35","62","0","5","2","",".224",".318",".404",".722",".315","","-0.1","-3.0","","-2.1","-6.2","0.1","5486"
"Rodolfo Durán","NYY","49","186","176","36","6","1","5","16","16","9","49","1","0","0","",".205",".247",".335",".583",".253","","-0.1","1.1","","-9.7","4.5","0.1","sa877500"
"Roberto Peña","","41","152","139","29","7","0","3","15","13","11","26","1","0","0","",".209",".272",".324",".595",".263","","-0.1","0.0","","-6.8","2.8","0.1","sa548359"
"Mike Ford","","102","394","351","79","18","0","17","49","51","36","86","5","1","0","",".225",".305",".422",".726",".312","","-0.1","-0.6","","-4.0","-7.8","0.1","15585"
"Hudson Potts","BOS","93","370","338","75","17","1","11","39","39","20","118","4","0","0","",".222",".270",".376",".646",".278","","-0.2","1.1","","-13.9","2.5","0.1","sa917936"
"Colin Moran","","116","402","361","93","19","0","12","38","57","34","90","3","1","0","",".258",".323",".410",".733",".316","","-0.1","-3.3","","-1.5","-10.7","0.1","16909"
"Juan Lagares","","107","275","258","64","13","2","4","31","26","12","62","1","1","1","",".248",".283",".360",".644",".277","","-0.4","0.2","","-9.4","1.2","0.1","5384"
"Michael Gettys","","97","389","357","71","19","3","14","44","49","24","143","4","8","3","",".199",".255",".387",".642",".274","","0.1","2.2","","-15.7","3.6","0.1","sa828692"
"Austin Romine","","51","160","153","37","7","0","4","15","19","6","43","0","0","0","",".242",".269",".366",".635",".273","","-0.1","-0.4","","-6.7","2.5","0.1","5491"
"Nick Conti","","36","131","113","22","4","1","3","13","9","14","36","2","2","1","",".195",".292",".327",".620",".277","","-0.1","0.2","","-3.9","0.7","0.1","sa3010844"
"Pat Valaika","","111","359","338","80","13","0","11","34","40","17","88","1","1","1","",".237",".274",".373",".647",".279","","-0.5","-0.1","","-12.3","1.2","0.1","14885"
"René Rivera","","58","212","194","40","6","0","8","21","26","11","66","3","0","0","",".206",".258",".361",".619",".269","","-0.1","0.0","","-9.9","3.9","0.1","3648"
"Edwin Ríos","LAD","108","381","343","75","18","2","20","47","56","28","136","6","0","1","",".219",".286",".458",".744",".314","","-0.7","-2.9","","-1.6","-9.9","0.1","18316"
"Kevin Kramer","","99","371","328","70","16","1","8","42","38","31","105","5","2","2","",".213",".287",".341",".629",".276","","-0.7","0.1","","-15.4","4.2","0.1","17689"
"Tomás Telis","LAD","92","382","363","100","12","1","8","45","39","15","49","2","2","1","",".275",".307",".380",".687",".298","","-0.3","2.0","","-6.6","-5.0","0.1","10067"
"Charlie Blackmon","COL","120","501","453","123","24","4","13","68","58","37","80","7","3","1","",".272",".333",".428",".762",".328","","-0.2","-4.0","","-6.0","-9.5","0.1","7859"
"Kyle Mottice","","45","178","152","34","5","1","0","22","9","15","29","8","7","3","",".224",".326",".270",".595",".277","","0.0","0.3","","-5.8","1.0","0.1","sa3007655"
"Lucius Fox","WSN","91","375","331","69","16","4","6","42","31","38","104","4","19","4","",".208",".297",".335",".632",".281","","1.8","-1.3","","-11.5","0.1","0.1","sa914200"
"Kurt Suzuki","","58","206","184","42","7","0","4","15","17","10","34","8","0","0","",".228",".293",".332",".624",".276","","-0.2","-2.7","","-7.1","1.1","0.1","8259"
"Jax Biggers","TEX","88","323","295","67","11","1","4","37","24","21","63","2","9","3","",".227",".281",".312",".593",".263","","0.3","2.5","","-13.7","3.7","0.1","sa3008251"
"Juan Centeno","","62","223","207","51","10","0","2","24","18","12","33","2","1","0","",".246",".293",".324",".616",".272","","0.0","-0.9","","-9.6","3.2","0.1","7168"
"Tyler Gentry","KCR","50","208","183","41","9","0","6","29","22","18","57","3","2","0","",".224",".301",".372",".673",".295","","0.2","0.2","","-4.0","-2.1","0.1","sa3014485"
"Justin Yurchak","LAD","88","373","333","83","16","1","10","49","41","30","86","2","1","1","",".249",".312",".393",".705",".306","","-0.5","-0.5","","-4.0","-7.4","0.1","sa915590"
"Anthony Alford","PIT","102","366","328","74","18","2","10","44","41","32","132","6","12","7","",".226",".306",".384",".690",".301","","-0.8","-0.6","","-6.5","-4.6","0.1","14329"
"Damek Tomscha","","85","328","302","66","13","1","8","35","33","18","82","6","1","1","",".219",".274",".348",".622",".272","","-0.5","1.1","","-12.5","2.3","0.1","sa550391"
"Darin Ruf","SFG","106","380","339","79","16","1","13","40","44","34","99","5","1","1","",".233",".311",".401",".712",".308","","-0.5","-1.4","","-3.3","-8.4","0.1","9929"
"Ian Miller","","107","425","388","95","18","3","4","48","33","27","77","5","16","3","",".245",".300",".338",".638",".279","","1.6","-0.9","","-13.9","0.7","0.1","15156"
"Willie MacIver","COL","102","411","376","83","16","2","12","43","37","25","112","6","9","4","",".221",".279",".370",".648",".282","","-0.2","0.1","","-20.5","7.7","0.1","sa3007828"
"Jose Colina","NYM","38","129","118","22","4","0","4","15","13","9","45","2","0","0","",".186",".256",".322",".578",".256","","-0.1","0.2","","-6.1","2.6","0.1","sa872875"
"Luke Maile","MIL","53","162","145","30","7","0","2","18","14","15","46","2","1","0","",".207",".290",".297",".587",".265","","0.1","0.1","","-7.7","3.1","0.1","13355"
"Yoshi Tsutsugo","PIT","114","414","354","79","18","1","13","46","46","50","96","2","0","1","",".223",".320",".390",".709",".310","","-0.8","-1.0","","-4.4","-8.6","0.1","27459"
"Yonathan Perlaza","CHC","102","408","375","93","19","1","15","53","57","25","100","2","4","2","",".248",".296",".424",".720",".308","","-0.3","-2.7","","-5.6","-7.2","0.1","sa917302"
"Curtis Terry","MIN","113","467","423","95","25","1","17","55","61","27","122","12","2","1","",".225",".288",".409",".697",".301","","-0.3","-0.1","","-6.5","-8.7","0.1","18881"
"Austin Listi","","93","373","331","72","14","1","9","42","37","32","90","6","0","1","",".218",".296",".347",".643",".283","","-0.7","0.2","","-13.2","1.6","0.1","sa3004170"
"Eli White","TEX","93","370","334","73","14","2","10","43","31","29","104","6","6","3","",".219",".292",".362",".654",".287","","-0.3","1.0","","-8.8","-3.1","0.1","19346"
"Luis Trevino","TBR","37","134","124","27","6","0","2","15","11","8","29","2","0","1","",".218",".276",".315",".591",".262","","-0.5","-0.7","","-5.6","1.8","0.1","sa3009893"
"Khris Davis","","90","346","314","68","11","1","13","37","45","26","89","4","0","0","",".217",".283",".382",".665",".288","","-0.2","-0.5","","-6.8","-4.3","0.1","9112"
"Chris Sharpe","PIT","109","402","355","70","22","1","8","44","34","35","130","7","6","4","",".197",".280",".332",".612",".271","","-0.8","2.9","","-17.0","4.4","0.1","sa3004726"
"JaCoby Jones","KCR","99","369","340","77","20","2","9","41","32","22","110","6","4","3","",".226",".285",".376",".661",".287","","-0.7","-2.8","","-10.5","-1.4","0.1","14818"
"Daniel Brito","PHI","88","352","323","75","13","2","7","32","25","23","79","3","3","6","",".232",".288",".350",".638",".278","","-2.2","3.1","","-15.4","4.4","0.1","sa872732"
"Ben DeLuzio","STL","82","318","289","62","12","4","3","30","20","20","87","6","11","5","",".215",".278",".315",".592",".262","","-0.1","3.0","","-14.1","4.2","0.1","sa737626"
"Tzu-Wei Lin","","68","238","219","51","11","1","3","25","17","16","58","0","5","2","",".233",".284",".333",".617",".271","","0.0","0.6","","-9.0","1.5","0.1","14678"
"Jacob Hurtubise","CIN","106","420","369","92","12","2","0","71","21","39","84","10","21","5","",".249",".337",".293",".629",".287","","1.7","4.2","","-12.9","-0.4","0.1","sa3014820"
"Ryan LaMarre","","86","310","283","65","12","3","6","33","29","21","85","5","9","4","",".230",".294",".357",".650",".284","","-0.1","1.6","","-8.1","-1.8","0.1","10700"
"Bryan Holaday","","56","157","142","31","8","0","3","14","16","10","32","2","1","0","",".218",".276",".338",".614",".266","","0.1","0.0","","-7.5","2.9","0.1","11287"
"Andrew Susac","","21","78","68","13","3","0","2","7","6","9","23","1","1","1","",".191",".295",".324",".618",".278","","-0.3","-0.5","","-3.0","0.9","0.1","13132"
"Robel García","","95","326","291","56","11","2","12","36","43","28","113","3","1","1","",".192",".268",".368",".635",".275","","-0.4","-1.0","","-10.7","0.2","0.1","13167"
"Mitch Moreland","","72","249","227","52","11","1","9","28","33","19","54","1","0","0","",".229",".289",".405",".694",".297","","-0.2","-0.4","","-2.9","-5.0","0.1","3086"
"Eric Hosmer","SDP","132","530","484","124","23","1","13","51","65","39","103","3","3","3","",".256",".314",".388",".702",".304","","-1.1","-0.8","","-6.4","-10.5","0.1","3516"
"Grae Kessinger","HOU","85","330","302","59","10","0","8","32","24","22","85","4","9","3","",".195",".258",".308",".566",".251","","0.3","2.2","","-16.5","5.8","0.1","sa3010327"
"Scott Heineman","","64","237","216","53","10","1","7","27","24","16","55","4","5","3","",".245",".308",".398",".706",".307","","-0.4","0.1","","-4.8","-2.5","0.1","14453"
"Max George","COL","62","230","199","37","7","1","7","25","18","23","75","6","8","2","",".186",".288",".337",".625",".279","","0.6","0.0","","-11.3","4.2","0.0","sa829010"
"Bryan Arias","HOU","51","192","178","37","4","0","8","20","20","13","64","1","3","2","",".208",".266",".365",".631",".275","","-0.4","-0.3","","-6.4","0.4","0.0","sa3011265"
"Roman Quinn","","46","138","122","26","4","2","2","16","9","11","39","3","8","2","",".213",".294",".328",".622",".277","","0.7","0.0","","-4.6","0.5","0.0","13546"
"Raimel Tapia","COL","128","482","446","123","27","4","7","62","44","32","78","1","15","4","",".276",".324",".401",".726",".314","","0.9","-0.1","","-10.1","-5.4","0.0","14350"
"Matt Lipka","","96","345","315","70","13","2","8","37","32","21","89","4","14","4","",".222",".278",".352",".630",".275","","0.9","0.7","","-12.9","2.0","0.0","sa548175"
"Jaycob Brugman","","76","308","284","66","17","1","14","35","42","21","90","2","1","0","",".232",".289",".447",".736",".314","","0.0","-3.5","","-2.9","-6.9","0.0","14936"
"Hayden Cantrelle","MIL","96","406","346","69","11","1","9","49","29","49","122","5","13","4","",".199",".305",".315",".620",".280","","0.6","-0.6","","-13.9","0.9","0.0","sa3014426"
"Khalil Lee","NYM","119","459","396","81","17","2","12","50","37","49","164","12","15","8","",".205",".310",".348",".659",".294","","-0.7","-2.3","","-7.4","-7.4","0.0","19952"
"Casey Schmitt","SFG","76","330","309","65","13","0","12","33","32","16","59","3","1","1","",".210",".255",".369",".624",".269","","-0.4","1.6","","-13.4","2.8","0.0","sa3014484"
"Michael Helman","MIN","100","400","368","80","16","1","13","39","41","27","83","2","7","3","",".217",".273",".372",".645",".280","","-0.1","3.5","","-12.3","-0.9","0.0","sa3008280"
"Keston Hiura","MIL","119","477","423","96","22","2","19","57","59","38","163","12","7","3","",".227",".307",".423",".731",".315","","-0.2","-3.2","","-3.4","-12.0","0.0","20003"
"Josh Lester","DET","108","445","407","89","19","2","20","45","56","31","127","2","1","1","",".219",".275",".423",".697",".296","","-0.5","1.4","","-8.0","-6.8","0.0","sa658811"
"Brandon Snyder","","75","290","267","57","12","0","11","32","36","16","92","5","1","0","",".213",".269",".382",".651",".281","","0.0","-0.1","","-10.3","1.0","0.0","9856"
"Grant Williams","BOS","95","349","324","80","15","2","3","31","23","18","47","3","6","5","",".247",".291",".333",".624",".274","","-1.2","2.4","","-15.3","3.7","0.0","sa3006724"
"DJ Peters","","114","456","407","80","16","2","17","51","50","36","163","9","2","1","",".197",".274",".371",".645",".278","","-0.3","-2.7","","-14.2","-1.0","0.0","19348"
"Hernán Pérez","","84","249","232","54","11","0","7","28","23","15","62","0","6","1","",".233",".278",".371",".649",".281","","0.6","-0.8","","-8.1","0.1","0.0","5751"
"Conner Capel","STL","111","415","378","85","16","2","10","44","39","30","97","2","6","4","",".225",".283",".357",".640",".278","","-0.8","4.6","","-13.5","0.0","0.0","sa918012"
"Jacob Robson","DET","99","403","356","82","17","3","7","48","33","42","134","3","12","6","",".230",".316",".354",".670",".297","","-0.5","-2.0","","-7.0","-6.4","0.0","19528"
"Shed Long Jr.","BAL","78","320","289","63","13","2","10","35","33","27","96","1","4","2","",".218",".286",".381",".667",".290","","-0.3","-1.6","","-5.5","-5.1","0.0","16542"
"Jonathan Davis","MIL","99","327","286","58","12","1","7","40","28","27","85","11","9","3","",".203",".294",".325",".620",".278","","0.3","0.3","","-12.1","1.5","0.0","15104"
"Nic Gaddis","NYM","45","174","153","27","5","1","5","19","17","15","49","3","1","1","",".176",".262",".320",".582",".258","","-0.3","-0.7","","-8.1","2.5","0.0","sa3009888"
"Taylor Davis","","58","212","190","44","6","0","2","23","15","19","29","1","0","0","",".232",".303",".295",".598",".268","","-0.2","-1.4","","-9.3","2.5","0.0","12782"
"Kyle Holder","COL","84","331","301","74","16","2","6","39","29","21","64","3","2","1","",".246",".301",".372",".673",".294","","-0.3","-1.0","","-13.4","2.6","0.0","sa857840"
"Devlin Granberg","BOS","101","419","384","95","21","2","9","50","43","24","93","8","4","2","",".247",".304",".383",".687",".299","","-0.4","-0.8","","-8.7","-5.4","0.0","sa3006671"
"Matt Davidson","","95","370","332","76","17","0","16","40","56","28","103","5","0","0","",".229",".296",".425",".721",".309","","-0.3","-0.2","","-5.1","-7.0","0.0","7226"
"Matt Vierling","PHI","110","424","384","90","17","2","10","47","39","27","103","5","9","3","",".234",".290",".367",".657",".285","","0.2","4.2","","-13.4","-0.5","0.0","21558"
"Charles Tilson","","82","302","279","67","11","1","3","32","25","18","62","3","8","2","",".240",".292",".319",".611",".271","","0.5","1.6","","-12.6","2.7","0.0","12983"
"Brian Navarreto","","57","211","193","39","8","0","6","19","17","11","50","2","0","0","",".202",".250",".337",".587",".255","","-0.1","-0.1","","-10.7","3.8","0.0","16398"
"Raudy Read","","60","235","219","55","12","2","9","27","32","11","52","2","0","0","",".251",".291",".447",".738",".312","","-0.2","-0.8","","-2.6","-5.1","0.0","15766"
"Lolo Sanchez","PIT","109","449","398","98","18","2","8","65","41","36","79","8","17","7","",".246",".319",".362",".681",".301","","0.1","-2.6","","-7.2","-7.5","0.0","sa917767"
"Josh Stowers","TEX","92","379","337","68","14","1","11","42","38","34","125","4","14","5","",".202",".281",".347",".628",".277","","0.4","2.9","","-11.5","-1.3","0.0","sa3007010"
"Maikel Franco","WSN","113","418","389","93","22","0","13","37","52","25","61","1","0","0","",".239",".285",".396",".681",".289","","-0.3","-2.9","","-12.4","-1.4","0.0","12179"
"Jason Lopez","","60","218","198","36","8","0","5","23","19","18","70","1","3","0","",".182",".252",".298",".550",".245","","0.5","0.9","","-12.3","4.9","0.0","sa872552"
"Nelson Cruz","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",".000",".000",".000",".000",".000","","0.0","0.0","","0.0","0.0","0.0","2434"
"Albert Pujols","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",".000",".000",".000",".000",".000","","0.0","0.0","","0.0","0.0","0.0","1177"
"Justin Toerner","STL","88","356","314","61","10","1","7","40","28","34","110","6","4","3","",".194",".285",".299",".584",".263","","-0.7","3.2","","-16.3","4.5","0.0","sa3006735"
"Andruw Monasterio","MIL","101","400","357","79","14","2","6","45","30","34","110","3","5","3","",".221",".292",".322",".614",".273","","-0.6","2.6","","-17.3","4.1","0.0","sa830359"
"Charles Leblanc","MIA","105","426","390","81","14","2","10","46","38","33","134","1","3","2","",".208",".270",".331",".601",".264","","-0.5","2.9","","-18.6","4.5","0.0","sa738521"
"Víctor Víctor Mesa","MIA","90","391","362","84","9","2","3","37","23","20","75","3","7","1","",".232",".276",".293",".569",".252","","0.7","5.3","","-19.7","6.7","0.0","sa3008602"
"Mickey Moniak","PHI","120","463","419","91","19","7","14","52","56","31","137","3","6","2","",".217",".274",".396",".670",".284","","0.1","-2.1","","-15.0","-0.4","0.0","19956"
"Carlos Asuaje","","76","261","235","53","10","2","4","30","24","20","44","3","3","1","",".226",".292",".336",".628",".277","","0.0","-1.0","","-8.7","0.0","0.0","15197"
"Trenton Brooks","CLE","103","423","379","88","25","1","11","49","44","35","88","3","2","1","",".232",".300",".391",".691",".299","","-0.3","-0.1","","-6.6","-7.9","0.0","sa873268"
"Trayce Thompson","","92","353","319","63","12","1","15","39","46","29","119","3","4","1","",".197",".270",".382",".652",".283","","0.2","-1.4","","-11.6","-0.1","0.0","9952"
"Símon Muzziotti","PHI","81","334","310","78","14","2","5","37","25","20","65","1","10","7","",".252",".298",".358",".656",".286","","-1.2","-0.7","","-11.7","0.5","0.0","sa917376"
"Maverick Handley","BAL","59","217","195","33","7","0","4","24","17","17","73","4","6","1","",".169",".249",".267",".516",".234","","0.6","3.2","","-14.7","7.2","0.0","sa3010848"
"Clayton Daniel","LAD","59","215","197","45","8","1","3","24","18","15","40","1","1","1","",".228",".285",".325",".610",".269","","-0.4","0.9","","-8.9","1.7","0.0","sa3007646"
"Kellin Deglan","TOR","51","184","167","33","7","0","6","18","17","11","60","4","1","0","",".198",".262",".347",".610",".267","","0.1","-1.5","","-8.3","1.9","0.0","sa548189"
"Steven Souza Jr.","","62","222","199","41","9","2","7","21","27","19","67","3","3","0","",".206",".285",".377",".662",".287","","0.4","0.0","","-5.1","-2.4","0.0","5667"
"Kevan Smith","","45","147","134","31","6","0","2","13","11","10","31","2","1","0","",".231",".293",".321",".613",".270","","0.1","-1.1","","-6.7","1.6","0.0","12284"
"Martin Cervenka","","64","222","202","38","7","0","6","20","19","15","64","2","1","0","",".188",".249",".312",".561",".247","","0.1","0.3","","-11.9","4.4","0.0","sa492636"
"Gabe Holt","MIL","97","433","392","94","14","0","4","65","30","36","71","3","6","1","",".240",".308",".306",".614",".275","","0.4","0.8","","-16.9","2.4","0.0","sa3011899"
"Drew Ferguson","","82","330","289","62","11","2","6","39","27","34","88","6","11","3","",".215",".309",".329",".638",".285","","0.7","-0.8","","-6.7","-4.4","0.0","sa875766"
"Joe McCarthy","TEX","67","280","246","57","13","1","8","35","30","25","69","4","2","1","",".232",".309",".390",".700",".303","","-0.2","-1.0","","-3.3","-6.1","0.0","18399"
"Luis Vazquez","CHC","69","268","250","57","7","1","4","29","20","14","58","3","5","2","",".228",".277",".312",".589",".261","","-0.1","1.8","","-13.8","4.8","0.0","sa3005131"
"Brady Lindsly","WSN","42","156","140","30","5","0","3","20","13","13","42","1","0","0","",".214",".284",".314",".598",".266","","-0.1","-0.7","","-7.6","2.2","0.0","sa3014942"
"Riley Unroe","","97","370","333","73","13","2","8","34","29","31","99","3","6","4","",".219",".290",".342",".632",".278","","-0.8","1.4","","-15.2","2.8","0.0","sa737614"
"Guillermo Heredia","ATL","111","299","264","58","18","0","5","35","21","25","67","8","1","1","",".220",".305",".345",".650",".287","","-0.4","-1.3","","-9.9","-0.2","0.0","18721"
"Victor Nova","CLE","103","394","355","77","12","2","6","53","29","34","104","2","7","3","",".217",".288",".313",".600",".268","","-0.2","1.1","","-16.2","2.5","0.0","sa3006075"
"Yadiel Rivera","","95","264","249","54","7","0","6","26","24","10","74","1","8","3","",".217",".248",".317",".565",".246","","0.2","2.3","","-14.5","5.2","0.0","11863"
"Alika Williams","TBR","82","372","342","78","14","1","5","46","30","17","78","3","4","3","",".228",".267",".319",".586",".255","","-0.7","0.3","","-17.3","4.4","0.0","sa3014427"
"Travis Jankowski","","83","235","207","49","7","1","2","29","13","25","46","1","8","4","",".237",".322",".309",".631",".282","","-0.3","-0.6","","-8.3","0.3","0.0","13768"
"Jon Singleton","","108","451","380","77","18","0","18","54","53","65","136","2","2","0","",".203",".319",".392",".711",".310","","0.0","-1.9","","-5.0","-10.2","0.0","10441"
"Stevie Berman","MIN","41","150","134","27","6","0","3","18","14","12","33","2","0","0","",".201",".275",".313",".589",".262","","-0.1","-1.3","","-6.9","1.5","0.0","sa873599"
"Brian Goodwin","","106","360","322","71","17","1","11","40","39","33","99","2","4","1","",".220",".295",".382",".677",".294","","0.1","-2.4","","-6.2","-6.4","0.0","12858"
"Mark Contreras","MIN","106","418","374","75","20","2","12","48","46","29","141","9","9","5","",".201",".272",".361",".633",".275","","-0.6","4.9","","-14.8","0.3","0.0","sa3004164"
"Nelson Maldonado","CHC","67","277","257","68","14","2","5","34","28","16","55","2","1","0","",".265",".312",".393",".705",".306","","0.0","-0.4","","-4.0","-5.5","0.0","sa3010389"
"Robbie Podorsky","SDP","40","146","133","30","4","1","2","13","9","9","30","1","8","2","",".226",".278",".316",".594",".262","","0.6","0.1","","-5.9","0.6","0.0","sa3004066"
"Matt Lloyd","CIN","40","150","135","27","6","0","8","14","19","13","54","2","0","1","",".200",".280",".422",".702",".302","","-0.5","0.1","","-3.8","-1.6","0.0","sa1169978"
"Seby Zavala","CHW","82","318","289","55","11","0","12","34","37","20","124","3","0","1","",".190",".248",".353",".601",".260","","-0.6","-1.9","","-15.2","3.9","0.0","18887"
"Cam Coursey","ARI","84","320","284","67","11","3","4","33","24","24","50","2","10","3","",".236",".295",".338",".633",".278","","0.5","-0.3","","-11.9","0.9","0.0","sa3010721"
