Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Damon Dues","SFG",82,310,270,62,50,11,1,0,38,23,34,5,70,3,1,2,0,12,3,0.22963,0.109677,0.225806,0.485714,0.321429,0.277778,0.269757,0.599206,0.0481481,5.74737,0.308458,,0.501946,25.2547,-12.517,69.7247,0.501946,-9.9,-11.125095069408417,-8.760963797569275,-0.930145,999,,,,"sa3017285"
"Victor Mesa","MIA",86,349,321,75,62,10,1,2,33,28,18,10,63,4,4,2,0,11,3,0.233645,0.0515759,0.180516,0.285714,0.279539,0.28972,0.240959,0.569259,0.0560748,5.27439,0.280769,,0.363587,20.085,-22.4387,46.2184,0.363587,5.5,-22.889337211847305,1.6529982089996338,-0.932338,999,,,,"sa3008602"
"Tyler Esplin",,61,245,226,50,35,12,2,1,26,19,16,4,68,2,1,0,0,1,1,0.221239,0.0653061,0.277551,0.235294,0.277551,0.30531,0.25211,0.582861,0.0840708,4.27597,0.310127,,-0.599629,16.3688,-13.4831,49.6058,-0.599629,2.2,-15.39341515302658,-2.3010289669036865,-0.934389,999,,,,"sa3004727"
"Garrett Whitley",,88,347,306,58,33,15,2,8,41,37,35,5,132,5,1,0,0,7,3,0.189542,0.100865,0.380403,0.265152,0.282421,0.330065,0.26742,0.612486,0.140523,5.77996,0.299401,,-0.390183,27.5956,-14.6843,63.8801,-0.390183,-1.5,-15.917445212602615,-5.324955940246582,-0.939735,999,,,,"sa874244"
"Austin Callahan","CIN",124,498,465,99,61,27,2,9,51,52,27,8,157,3,3,0,0,2,1,0.212903,0.0542169,0.315261,0.171975,0.259036,0.337634,0.253043,0.596671,0.124731,3.82625,0.298013,,-0.661603,33.6578,-27.0206,49.6594,-0.661603,3.5,-31.71905642747879,5.329805970191956,-0.940129,999,,,,"sa3017407"
"Wade Stauss","STL",43,149,129,22,16,4,0,2,10,18,10,2,64,8,1,1,0,0,1,0.170543,0.0671141,0.42953,0.15625,0.27027,0.248062,0.236158,0.518332,0.0775194,1.74208,0.3125,,-0.668642,7.98087,-10.1739,45.7867,-0.668642,0,-10.675794541835785,-3.8323044776916504,-0.940668,999,,,,"sa3017000"
"Zavier Warren","MIL",108,447,405,89,59,18,2,10,45,48,35,14,110,4,3,0,0,3,1,0.219753,0.0782998,0.246085,0.318182,0.286353,0.348148,0.265945,0.634502,0.128395,3.87107,0.274306,,-0.469308,35.0004,-19.4639,63.1911,-0.469308,4.4,-20.85281327366829,-3.8120808601379395,-0.94139,999,,,,"sa3014549"
"Carson Taylor","PHI",82,324,293,68,50,10,1,7,35,30,27,7,81,2,2,0,0,0,1,0.232082,0.0833333,0.25,0.333333,0.299383,0.34471,0.276126,0.644093,0.112628,2.52064,0.294686,,-0.976847,28.1092,-11.3683,69.7164,-0.976847,-13.3,-13.132278680801392,-7.34761905670166,-0.941814,999,,,,"sa3014468"
"Garrett Wolforth",,76,287,268,52,32,13,2,5,26,28,16,4,110,2,1,0,0,1,1,0.19403,0.0557491,0.383275,0.145455,0.243902,0.313433,0.238061,0.557335,0.119403,4.21376,0.305195,,-0.576514,15.826,-19.1433,44.4989,-0.576514,-4.2,-20.30990642309189,1.0726337432861328,-0.943564,999,,,,"sa876111"
"Hamlet Marte",,38,125,115,21,16,3,0,2,11,10,8,4,47,1,1,0,0,1,1,0.182609,0.064,0.376,0.170213,0.24,0.26087,0.209667,0.50087,0.0782609,2.83871,0.283582,,-0.383886,3.94521,-11.2853,28.0692,-0.383886,-4.5,-11.522814989089966,-2.203556776046753,-0.944226,999,,,,"sa597218"
"Michael Toglia","COL",120,508,454,105,63,23,2,17,59,63,48,9,141,3,3,0,1,3,2,0.231278,0.0944882,0.277559,0.340426,0.307087,0.403084,0.302068,0.71017,0.171806,3.59822,0.294314,,-1.05319,55.0171,-6.87975,72.6852,-1.05319,0.8,-18.243391036987305,-8.53274554014206,-0.944746,999,,,,"25845"
"Joe Naranjo","CLE",114,456,403,86,63,16,1,6,41,44,45,11,128,6,2,0,1,1,1,0.213399,0.0986842,0.280702,0.351562,0.300439,0.30273,0.263169,0.603168,0.08933,2.35145,0.295203,,-1.01571,34.6539,-20.907,65.5627,-1.01571,3.2,-19.831696271896362,-5.177425146102905,-0.948925,999,,,,"sa3010025"
