Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Cade Cavalli","WSN",7.0695,8.6493,9.4667,4.27876,33.06,21.06,0,0.6006,131.863,565.858,125.583,67.4198,62.6901,17.8455,49.4105,,7.4648,122.143,8.33655,3.37239,2.472,1.218,0.215854,0.0873196,0.12853437662124634,0.246734,1.32708,0.291976,0.717111,0.410589,,4.36721,1.25442,1.45561,571.1300048828125,,,,"27473"
"Steven Matz","STL",6.729,6.7425,7.0634,3.93395,42.2,16.2,0,0.6324,114.122,479.718,110.999,54.0412,49.8833,14.316,32.3876,,4.5645,101.371,7.99442,2.55418,3.12993,1.129,0.211314,0.0675138,0.14379969984292984,0.250695,1.25644,0.295596,0.724359,0.4377,,3.99211,1.25212,1.36964,667.75,,,,"13361"
"Kyle Freeland","COL",6.9166,10.8325,8.7374,5.15392,25.92,25.92,0,0,144.108,630.395,166.929,87.9185,82.5247,24.4664,39.1494,,5.4901,106.64,6.66,2.445,2.72393,1.528,0.169164,0.062103,0.10706096515059471,0.284981,1.43003,0.313347,0.687674,0.407508,,4.82288,1.22827,1.28542,719.5,,,,"16256"
"Spencer Arrighetti","HOU",8.5004,9.0004,10.4057,4.40792,25.92,25.92,0,0,141.287,609.258,129.904,74.0109,69.1979,20.518,61.0811,,7.1027,144.514,9.20557,3.89088,2.36594,1.307,0.237197,0.100255,0.13694199174642563,0.240085,1.35175,0.290887,0.720906,0.378155,,4.45646,1.226,1.181,221,,,,"29921"
"Alec Marsh","KCR",6.9947,7.9571,6.7763,4.36589,47.82,17.82,0,0.6266,126.504,545.844,123.785,65.7386,61.3667,17.1483,44.4882,,7.6146,121.467,8.64171,3.16508,2.73033,1.22,0.222532,0.0815035,0.1410280168056488,0.250709,1.33019,0.30028,0.710736,0.391296,,4.24393,1.2243,1.22252,517.8800048828125,,,,"27451"
"Mitch Spence","ATH",7.6757,9.044,11.1078,4.20546,24.3,24.3,0,0,137.447,587.129,140.832,69.7241,64.2253,16.7533,42.4623,,5.9165,103.696,6.79002,2.78042,2.44208,1.097,0.176616,0.0723219,0.10429412126541138,0.261405,1.33356,0.296626,0.710525,0.46313,,4.29809,1.21417,1.23205,573.8800048828125,,,,"27707"
"Kyle Wright","KCR",5.9166,6.4181,6.3821,4.17678,38.58,14.58,0,0.6266,105.738,453.111,107.95,53.3208,49.0717,11.4902,35.0583,,5.6779,89.7311,7.63755,2.98402,2.55948,0.978,0.198033,0.0773724,0.1206609457731247,0.261776,1.35248,0.310007,0.706634,0.492114,,4.03768,1.20182,1.23528,596,,,,"19665"
"Antonio Senzatela","COL",6.1965,9.6014,6.7631,5.11754,36.06,21.06,0,0.546,130.453,571.584,155.318,79.6015,74.1777,19.4955,35.6323,,5.5786,84.0406,5.79799,2.45828,2.35855,1.345,0.147031,0.0623396,0.08469149470329285,0.292846,1.46374,0.318206,0.68038,0.47133,,4.76853,1.18478,0.949431,999,,,,"15488"
"Félix Bautista","BAL",3.7814,2.4855,0,2.69995,64,0,29.742,1.4196,64,259.004,43.9098,20.9672,19.1996,5.78844,24.0773,,2.3963,93.0448,13.0844,3.38587,3.86442,0.814,0.359241,0.0929611,0.2662796899676323,0.188835,1.0623,0.285132,0.785192,0.387775,,2.67556,1.18243,1.1888,58.880001068115234,,,,"20666"
"Joey Cantillo","CLE",8.1206,8.339,9.2506,4.05464,43.06,21.06,0,0.661,138.269,595.765,126.442,67.3671,62.2922,17.299,61.1512,,5.5448,138.11,8.98966,3.98037,2.2585,1.126,0.231819,0.102643,0.12917625159025192,0.23899,1.35673,0.292092,0.735892,0.420556,,4.24232,1.17021,1.35673,435.3800048828125,,,,"23335"
