"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Boone Logan","","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.36","10.12","4.39","4.06","0.0","0.1","5525"
"Scott Copeland","","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.42","7.77","3.84","4.06","0.0","0.1","10706"
"Jake Jewell","CHC","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.43","8.45","4.14","4.10","0.0","0.1","16958"
"Dayan Diaz","","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.33","9.45","3.62","4.08","0.0","0.1","11543"
"Steven Wilson","SDP","0","0","3.79","0","1","0","1.0","1","0","0","1","0","1.33","10.03","4.15","3.89","0.0","0.1","sa3006795"
"Scott McGough","","0","0","4.53","0","1","0","1.0","1","1","0","1","0","1.41","9.27","3.50","4.11","0.0","0.0","12056"
"Ty Buttrey","","0","0","3.83","0","1","0","1.0","1","0","0","1","0","1.27","9.31","3.33","3.97","0.0","0.1","14719"
"Ricardo Sanchez","STL","0","0","3.80","0","1","0","1.0","1","0","0","1","0","1.33","8.03","3.32","4.02","0.0","0.1","17581"
"Brian McKenna","MIA","0","0","3.88","0","1","0","1.0","1","0","0","1","0","1.29","9.73","3.59","3.91","0.0","0.1","sa3011767"
"Austin Davis","PIT","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.34","9.66","4.00","3.98","0.0","0.1","17117"
"Corey Oswalt","NYM","0","0","3.93","0","1","0","1.0","1","0","0","1","0","1.24","8.97","2.73","4.01","0.0","0.1","13677"
"Jacob Waguespack","TOR","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.32","8.65","3.30","4.14","0.0","0.1","18318"
"Justin Hancock","","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.38","9.46","4.15","4.10","0.0","0.1","12316"
"Jesse Chavez","ATL","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.32","8.83","2.83","4.05","0.0","0.1","5448"
"Paco Rodriguez","","0","0","3.86","0","1","0","1.0","1","0","0","1","0","1.36","8.38","3.77","4.11","0.0","0.1","13398"
"Tony Barnette","","0","0","4.10","0","1","0","1.0","1","0","0","1","0","1.32","8.63","3.22","4.11","0.0","0.1","3555"
"Justin Bruihl","LAD","0","0","3.71","0","1","0","1.0","1","0","0","1","0","1.35","9.53","4.02","3.89","0.0","0.1","sa3006814"
"Fernando Romero","MIN","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.36","8.90","3.84","4.10","0.0","0.1","15885"
"Corbin Clouse","ATL","0","0","3.86","0","1","0","1.0","1","0","0","1","0","1.35","10.01","4.15","3.94","0.0","0.1","sa918605"
"Nick Gardewine","ARI","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.38","9.11","4.00","4.11","0.0","0.1","16513"
"Sam Dyson","","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.39","7.60","3.33","4.12","0.0","0.0","11710"
"Drew VerHagen","","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.32","8.51","3.17","4.12","0.0","0.1","13424"
"David Paulino","PHI","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.28","9.65","3.28","4.11","0.0","0.1","17418"
"Ryan Meisinger","CHC","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.34","9.62","3.84","4.05","0.0","0.1","18105"
"Luis Gonzalez","SFG","0","0","3.79","0","1","0","1.0","1","0","0","1","0","1.32","9.57","3.87","3.90","0.0","0.1","sa550522"
"Justin Miller","WSN","0","0","4.17","0","1","0","1.0","1","0","0","1","0","1.25","9.89","3.11","4.16","0.0","0.1","8580"
"Kyle Regnault","","0","0","3.82","0","1","0","1.0","1","0","0","1","0","1.32","10.19","4.01","3.93","0.0","0.1","sa526832"
"Austen Williams","WSN","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.36","9.40","3.84","4.16","0.0","0.1","16309"
"Rob Zastryzny","MIA","0","0","3.93","0","1","0","1.0","1","0","0","1","0","1.38","8.03","3.77","4.14","0.0","0.1","15094"
"Sean Guenther","MIA","0","0","3.76","0","1","0","1.0","1","0","0","1","0","1.28","8.01","2.90","3.94","0.0","0.1","sa915817"
"Tayler Scott","","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.41","8.81","4.24","4.13","0.0","0.1","13652"
"Norwith Gudino","SFG","0","0","3.93","0","1","0","1.0","1","0","0","1","0","1.30","9.37","3.53","3.91","0.0","0.1","sa872808"
"Humberto Castellanos","ARI","0","0","4.29","0","4","0","4.0","4","2","0","4","2","1.40","7.96","3.63","4.27","0.0","0.0","21183"
"Carson Smith","","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.38","8.77","3.82","4.13","0.0","0.0","13172"
"Walker Lockett","","0","0","4.31","0","1","0","1.0","1","0","0","1","0","1.33","7.35","2.60","4.34","0.0","0.0","13804"
"Samuel Wolff","SFG","0","0","3.93","0","1","0","1.0","1","0","0","1","0","1.32","9.76","3.89","3.91","0.0","0.1","sa503437"
"Zachary Thompson","MIA","0","0","3.86","0","1","0","1.0","1","0","0","1","0","1.31","8.78","3.51","3.95","0.0","0.1","sa602893"
"Jake Fishman","MIA","0","0","3.74","0","1","0","1.0","1","0","0","1","0","1.31","8.64","3.50","3.95","0.0","0.1","sa918699"
"Blaine Hardy","MIL","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.30","8.43","2.86","4.11","0.0","0.1","6499"
"David Hess","TBR","0","0","4.11","0","1","0","1.0","1","0","0","1","0","1.24","9.05","2.80","4.25","0.0","0.1","16130"
"Keury Mella","ARI","0","0","4.18","0","2","0","2.0","2","1","0","2","1","1.37","8.26","3.46","4.13","0.0","0.0","15964"
"Sammy Solis","","0","0","4.05","0","1","0","1.0","1","0","0","1","0","1.36","9.49","4.01","4.17","0.0","0.1","11457"
"Jose Torres","","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.28","9.27","3.26","4.15","0.0","0.1","14957"
"Matt Dermody","","0","0","3.96","0","1","0","1.0","1","0","0","1","0","1.31","9.12","3.40","4.05","0.0","0.1","14844"
"Jake Petricka","LAA","0","0","4.10","0","1","0","1.0","1","0","0","1","0","1.41","7.73","3.58","4.15","0.0","0.1","10534"
"Brett Eibner","MIA","0","0","4.00","0","1","0","1.0","1","0","0","1","0","1.35","9.08","3.85","4.06","0.0","0.1","11369"
"Dylan Covey","BOS","0","0","4.36","0","1","0","1.0","1","0","0","1","0","1.39","7.60","3.00","4.22","0.0","0.0","14825"
"John Axford","","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.41","8.83","4.18","4.17","0.0","0.0","9059"
"Zac Grotz","BOS","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.42","7.69","3.46","4.34","0.0","0.0","18256"
"Daniel Schlereth","","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.37","9.71","4.41","4.20","0.0","0.1","8739"
"Joe Biagini","CHC","0","0","4.17","0","1","0","1.0","1","0","0","1","0","1.39","7.82","3.43","4.11","0.0","0.0","13194"
"Buddy Boshers","","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.37","9.09","3.87","4.18","0.0","0.1","8490"
"Daniel Alvarez","SFG","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.36","9.24","4.01","3.96","0.0","0.1","sa828462"
"Ronald Belisario","","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.38","7.24","3.07","4.19","0.0","0.0","2203"
"Patrick Ruotolo","SFG","0","0","3.95","0","1","0","1.0","1","0","0","1","0","1.35","9.76","4.14","3.96","0.0","0.1","sa856262"
"Fernando Rodney","","0","0","4.17","0","1","0","1.0","1","0","0","1","1","1.44","9.32","4.73","4.23","0.0","0.0","494"
"Radhames Liz","","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.39","9.77","4.26","4.16","0.0","0.1","5843"
"Dovydas Neverauskas","","0","0","4.24","0","1","0","1.0","1","0","0","1","0","1.39","9.61","4.30","4.31","0.0","0.0","11604"
"Zach McAllister","","0","0","4.28","0","1","0","1.0","1","0","0","1","0","1.31","9.14","3.22","4.20","0.0","0.0","2895"
"Mike Morin","MIA","0","0","4.24","0","1","0","1.0","1","0","0","1","0","1.34","7.23","2.98","4.41","0.0","0.0","13442"
"Ben Taylor","","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.32","9.45","3.59","4.20","0.0","0.1","18114"
"Brailyn Marquez","CHC","0","0","3.94","0","1","0","1.0","1","0","0","1","1","1.42","9.91","4.89","4.13","0.0","0.1","21896"
"Cayne Ueckert","CHC","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.36","9.86","4.18","4.03","0.0","0.1","sa3010789"
"Tommy Eveld","MIA","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.31","9.14","3.68","4.01","0.0","0.1","sa918150"
"Tyler Phillips","TEX","0","0","4.03","0","5","0","5.0","5","2","1","5","2","1.29","8.12","2.61","4.02","0.0","0.0","sa875646"
"Marshall Kasowski","LAD","0","0","3.83","0","1","0","1.0","1","0","0","1","1","1.38","10.91","4.96","3.98","0.0","0.1","sa3005114"
"Blake Weiman","PIT","0","0","3.99","0","5","0","5.0","5","2","1","5","2","1.31","8.85","3.29","4.09","0.0","0.0","sa3004211"
"Kervin Castro","SFG","0","0","4.00","0","1","0","1.0","1","0","0","1","0","1.39","9.14","4.20","3.98","0.0","0.1","sa916834"
"Ben Lively","ARI","0","0","4.31","0","1","0","1.0","1","0","0","1","0","1.33","8.46","3.11","4.21","0.0","0.0","14932"
"Darien Nunez","LAD","0","0","3.77","0","1","0","1.0","1","0","0","1","0","1.34","10.67","4.48","3.99","0.0","0.1","sa3005427"
"Yerry De Los Santos","PIT","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.37","9.21","4.02","3.99","0.0","0.1","sa873562"
"Andrew Vasquez","MIN","0","0","3.97","0","1","0","1.0","1","0","0","1","1","1.46","9.78","5.17","4.20","0.0","0.1","19482"
"Melvin Adon","SFG","0","0","3.94","0","1","0","1.0","1","0","0","1","1","1.44","9.19","4.71","3.99","0.0","0.1","sa873314"
"Sam Moll","ARI","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.44","8.62","4.29","4.21","0.0","0.0","14874"
"Adalberto Mejia","","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.34","9.15","3.71","4.22","0.0","0.1","13188"
"Wilmer Font","","0","0","4.26","0","1","0","1.0","1","0","0","1","0","1.31","9.32","3.41","4.27","0.0","0.0","5257"
"Michael Rucker","CHC","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.30","9.24","3.33","4.05","0.0","0.1","sa919117"
"Kevin Quackenbush","LAD","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.31","9.62","3.43","4.20","0.0","0.1","12360"
"Justin Haley","","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.33","8.04","3.04","4.22","0.0","0.0","13572"
"Jared Hughes","","0","0","4.33","0","1","0","1.0","1","0","0","1","0","1.46","7.13","3.90","4.43","0.0","0.0","9325"
"Jason Jester","SDP","0","0","3.96","0","1","0","1.0","1","0","0","1","0","1.33","8.47","3.38","4.03","0.0","0.1","sa738439"
"Tyler Gilbert","ARI","0","0","3.99","0","1","0","1.0","1","0","0","1","0","1.35","8.79","3.52","4.03","0.0","0.1","sa875068"
"Matthew Gage","ARI","0","0","3.96","0","1","0","1.0","1","0","0","1","0","1.32","7.98","3.00","4.03","0.0","0.1","sa827398"
"Kyle Lobstein","WSN","0","0","4.05","0","1","0","1.0","1","0","0","1","0","1.44","7.86","4.07","4.27","0.0","0.1","9178"
"Drew Rucinski","MIA","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.38","7.63","3.49","4.24","0.0","0.0","12499"
"Josh Edgin","","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.39","9.24","4.38","4.24","0.0","0.1","10796"
"Erik Davis","","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.40","8.59","3.83","4.21","0.0","0.0","8422"
"Benjamin Leeper","CHC","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.34","9.90","4.02","4.07","0.0","0.1","sa3014907"
"Kyle Crockett","ARI","0","0","4.24","0","1","0","1.0","1","0","0","1","0","1.39","7.90","3.43","4.24","0.0","0.0","15033"
"Zack Leban","MIA","0","0","3.96","0","1","0","1.0","1","0","0","1","0","1.34","9.19","3.92","4.06","0.0","0.1","sa3007967"
"Steven Wright","PIT","0","0","4.27","0","7","0","7.0","7","3","1","6","3","1.41","8.35","3.71","4.30","0.0","0.1","8185"
"Max Povse","","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.38","9.11","4.05","4.25","0.0","0.0","16165"
"Ryan Cook","","0","0","4.24","0","1","0","1.0","1","0","0","1","0","1.41","8.88","4.16","4.25","0.0","0.0","8855"
"Layne Somsen","","0","0","4.21","0","1","0","1.0","1","0","0","1","0","1.40","9.06","4.15","4.26","0.0","0.0","15301"
"Francis Martes","HOU","0","0","4.08","0","1","0","1.0","1","0","0","1","1","1.37","10.29","4.66","4.24","0.0","0.1","17303"
"Brady Feigl","SDP","0","0","3.86","0","1","0","1.0","1","0","0","1","0","1.34","8.40","3.55","4.06","0.0","0.1","sa824867"
"R.J. Alvarez","MIL","0","0","4.20","0","1","0","1.0","1","0","0","1","0","1.37","9.61","4.10","4.23","0.0","0.0","13401"
"Artie Lewicki","","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.31","8.72","3.14","4.16","0.0","0.1","16731"
"Junior Garcia","ARI","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.40","9.67","4.45","4.06","0.0","0.1","sa737032"
"Yunior Marte","SFG","0","0","4.01","0","1","0","1.0","1","0","0","1","0","1.36","9.14","3.98","4.04","0.0","0.1","sa739617"
"Alexander Powers","ARI","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.32","9.89","3.80","4.06","0.0","0.1","sa621533"
"Tyler Higgins","","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.30","9.22","3.27","4.07","0.0","0.1","sa503722"
"Kelvin Herrera","","0","0","4.48","0","1","0","1.0","1","0","0","1","0","1.36","8.26","3.35","4.47","0.0","0.0","6033"
"Taylor Guerrieri","SEA","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.41","8.55","4.27","4.29","0.0","0.1","13616"
"Levi Kelly","ARI","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.40","9.77","4.45","4.07","0.0","0.1","sa3008500"
"Miguel Aguilar","ARI","0","0","3.98","0","1","0","1.0","1","0","0","1","0","1.36","9.16","3.91","4.07","0.0","0.1","sa654743"
"Josh Judy","","0","0","4.26","0","1","0","1.0","1","0","0","1","0","1.37","8.57","3.61","4.28","0.0","0.0","1975"
"Daniel Coulombe","MIN","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.38","8.65","3.84","4.16","0.0","0.1","13293"
"Ian Lillis-White","","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.36","9.91","4.35","4.08","0.0","0.1","sa876096"
"Pat Venditte","","0","0","4.33","0","1","0","1.0","1","0","0","1","0","1.34","8.94","3.69","4.48","0.0","0.0","7108"
"Chad Gaudin","","0","0","4.26","0","1","0","1.0","1","0","0","1","0","1.36","8.51","3.43","4.28","0.0","0.0","1783"
"Silvino Bracho","SFG","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.33","8.93","3.59","4.16","0.0","0.1","15051"
"Rob Kaminsky","PHI","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.43","8.90","4.50","4.18","0.0","0.1","15792"
"Jeremy Bleich","","0","0","4.13","0","1","0","1.0","1","0","0","1","0","1.38","8.14","3.62","4.29","0.0","0.1","9069"
"Travis Radke","","0","0","3.94","0","1","0","1.0","1","0","0","1","0","1.38","8.29","3.68","4.09","0.0","0.1","sa602806"
"Bo Schultz","","0","0","4.27","0","1","0","1.0","1","0","0","1","0","1.40","8.53","3.88","4.29","0.0","0.0","5028"
"Jimmy Cordero","CHW","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.39","8.19","3.85","4.25","0.0","0.1","15690"
"Foster Griffin","KCR","0","0","4.44","0","1","0","1.0","1","0","0","1","0","1.41","7.38","3.55","4.55","0.0","0.0","16432"
"Austin Adams","","0","0","4.24","0","1","0","1.0","1","0","0","1","0","1.39","9.08","4.05","4.30","0.0","0.0","7411"
"Miguel Sanchez","MIL","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.34","9.58","3.83","4.07","0.0","0.1","sa916730"
"Ricardo Rodriguez","","0","0","4.32","0","1","0","1.0","1","0","0","1","0","1.34","8.52","3.25","4.30","0.0","0.0","15458"
"Trevor Bettencourt","PHI","0","0","4.01","0","1","0","1.0","1","0","0","1","0","1.34","9.97","4.06","4.09","0.0","0.1","sa918556"
"Francisco Liriano","","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.41","8.88","4.21","4.30","0.0","0.0","3201"
"Enrique Burgos","","0","0","4.36","0","1","0","1.0","1","0","0","1","0","1.42","9.23","4.36","4.30","0.0","0.0","3895"
"Thomas Hatch","TOR","1","1","4.42","0","16","0","16.0","15","8","2","15","6","1.35","8.59","3.51","4.51","0.0","0.0","19264"
"Brad Ziegler","","0","0","4.32","0","1","0","1.0","1","0","0","1","0","1.51","6.09","3.62","4.30","0.0","0.0","7293"
"Victor Alcantara","","0","0","4.28","0","1","0","1.0","1","0","0","1","0","1.38","7.40","3.21","4.31","0.0","0.0","15028"
"T.J. McFarland","WSN","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.48","6.40","3.40","4.24","0.0","0.0","3237"
"Michael Dimock","","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.35","9.59","3.96","4.12","0.0","0.1","sa526011"
"Jon Edwards","","0","0","4.27","0","1","0","1.0","1","0","0","1","0","1.39","9.63","4.34","4.32","0.0","0.0","1483"
"Jose Valverde","","0","0","4.33","0","1","0","1.0","1","0","0","1","0","1.39","8.01","3.47","4.32","0.0","0.0","1726"
"Glenn Sparkman","","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.34","7.16","2.41","4.52","0.0","0.0","15200"
"Brock Burke","TEX","0","0","4.12","0","4","0","4.0","4","2","1","4","2","1.36","8.90","3.65","4.25","0.0","0.0","17968"
"Allen Webster","","0","0","4.30","0","1","0","1.0","1","0","0","1","0","1.37","8.38","3.52","4.32","0.0","0.0","3993"
"Cyrillo Watson","LAD","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.35","9.77","3.95","4.10","0.0","0.1","sa3011557"
"Fernando Nieve","","0","0","4.29","0","1","0","1.0","1","0","0","1","0","1.41","9.46","4.41","4.33","0.0","0.0","2173"
"Seth Romero","WSN","0","0","4.14","0","4","0","4.0","4","2","1","4","2","1.40","9.48","4.33","4.26","0.0","0.0","21333"
"Matthew Seelinger","SFG","0","0","4.10","0","1","0","1.0","1","0","0","1","0","1.39","9.71","4.49","4.10","0.0","0.1","sa3004483"
"Tyler Cyr","SFG","0","0","4.06","0","1","0","1.0","1","0","0","1","1","1.44","9.02","4.64","4.11","0.0","0.1","sa875270"
"Gerardo Reyes","LAA","0","0","4.13","0","1","0","1.0","1","0","0","1","0","1.33","10.32","4.29","4.31","0.0","0.1","16306"
"Jandel Gustave","PIT","0","0","4.33","0","1","0","1.0","1","0","0","1","0","1.44","8.41","4.17","4.31","0.0","0.0","14665"
"Tyler Ivey","HOU","0","0","5.99","2","2","0","11.0","12","7","2","8","3","1.44","7.05","2.90","4.97","0.0","0.0","20237"
"Matt Grace","","0","0","4.50","0","1","0","1.0","1","1","0","1","0","1.42","6.72","3.10","4.54","0.0","0.0","11449"
"Andrew Morales","","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.38","9.36","4.23","4.16","0.0","0.1","sa828705"
"Jonny Venters","","0","0","4.10","0","1","0","1.0","1","0","0","1","1","1.50","8.32","4.84","4.34","0.0","0.1","7175"
"Jean Cosme","","0","0","4.02","0","1","0","1.0","1","0","0","1","0","1.39","8.84","4.17","4.14","0.0","0.1","sa829216"
"Williams Jerez","SEA","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.37","9.29","4.27","4.36","0.0","0.1","14338"
"Mike Clevinger","SDP","0","0","3.29","0","0","0","1.0","1","0","0","1","0","1.17","11.02","3.26","3.32","0.0","0.0","12808"
"Justin Verlander","HOU","0","0","3.42","0","0","0","1.0","1","0","0","1","0","1.07","11.36","2.38","3.40","0.0","0.0","8700"
"Caleb Kilian","SFG","0","0","3.72","0","0","0","1.0","1","0","0","1","0","1.26","8.59","2.64","3.57","0.0","0.0","sa3011773"
"Masahiro Tanaka","","0","0","3.78","0","0","0","1.0","1","0","0","1","0","1.21","8.59","2.10","3.75","0.0","0.0","15764"
"Mike Soroka","ATL","0","0","4.01","0","0","0","1.0","1","0","0","1","0","1.33","7.89","2.88","3.90","0.0","0.0","18383"
"Tylor Megill","NYM","0","0","3.82","0","0","0","1.0","1","0","0","1","0","1.30","9.58","3.68","3.92","0.0","0.0","sa3007988"
"Jacob Eder","MIA","0","0","3.83","0","0","0","1.0","1","0","0","1","0","1.33","9.50","3.91","3.94","0.0","0.0","sa3014917"
"Samuel Long","SFG","0","0","3.93","0","0","0","1.0","1","0","0","1","0","1.32","8.86","3.41","3.97","0.0","0.0","sa918455"
"Tyler Holton","ARI","0","0","4.05","0","0","0","1.0","1","0","0","1","0","1.35","8.93","3.54","4.04","0.0","0.0","sa3011295"
"Travis MacGregor","PIT","0","0","4.19","0","0","0","1.0","1","0","0","1","0","1.37","8.86","3.66","4.09","0.0","0.0","sa917950"
"Thomas Henry","ARI","0","0","4.11","0","0","0","1.0","1","0","0","1","0","1.36","8.91","3.64","4.10","0.0","0.0","sa3011673"
"Jason Alexander","MIA","0","0","4.07","0","0","0","1.0","1","0","0","1","0","1.37","7.08","3.19","4.16","0.0","0.0","sa3003997"
"Ethan Small","MIL","0","0","4.12","0","0","0","1.0","1","0","0","1","0","1.37","10.02","4.20","4.18","0.0","0.0","sa3011621"
"Cole Stapler","","0","0","4.34","0","0","0","1.0","1","0","0","1","0","1.35","7.29","2.68","4.20","0.0","0.0","sa738639"
"Shun Yamaguchi","SFG","0","0","4.32","0","0","0","1.0","1","0","0","1","0","1.38","8.19","3.55","4.22","0.0","0.0","sa3015038"
"Scott Peoples","","0","0","4.27","0","0","0","1.0","1","0","0","1","0","1.32","7.50","2.64","4.24","0.0","0.0","sa658314"
"Joshua Green","ARI","0","0","4.36","0","0","0","1.0","1","0","0","1","0","1.41","6.34","2.85","4.26","0.0","0.0","sa3006701"
"Alec Marsh","KCR","0","0","4.38","0","0","0","1.0","1","0","0","1","0","1.35","8.31","3.32","4.26","0.0","0.0","sa1159950"
"Sidney Thomas","STL","0","0","4.07","0","0","0","1.0","1","0","0","1","0","1.40","7.35","3.57","4.26","0.0","0.0","sa3010784"
"Michael Nittoli","SEA","0","0","4.16","0","0","0","1.0","1","0","0","1","0","1.31","8.69","3.25","4.27","0.0","0.0","sa829353"
"Jesse Scholtens","SDP","0","0","4.20","0","0","0","1.0","1","0","0","1","0","1.36","7.66","3.30","4.28","0.0","0.0","sa918144"
"Nicholas Bennett","MIL","0","0","4.26","0","0","0","1.0","1","0","0","1","0","1.35","8.61","3.31","4.29","0.0","0.0","sa3011410"
"Luis Contreras","MIL","0","0","4.34","0","0","0","1.0","1","0","0","1","0","1.36","9.38","3.75","4.30","0.0","0.0","sa3010362"
"Matt Frisbee","SFG","0","0","4.37","0","0","0","1.0","1","0","0","1","0","1.30","8.30","2.86","4.30","0.0","0.0","sa3006801"
"Freddy Garcia","","0","0","4.41","0","0","0","1.0","1","0","0","1","0","1.30","7.54","2.25","4.30","0.0","0.0","1077"
"Tyler Skaggs","","0","0","4.17","0","0","0","1.0","1","0","0","1","0","1.30","8.69","3.16","4.31","0.0","0.0","10190"
"Reiver Sanmartin","CIN","0","0","4.28","0","0","0","1.0","1","0","0","1","0","1.36","8.07","3.15","4.32","0.0","0.0","sa880982"
"Francisley Bueno","","0","0","4.29","0","0","0","1.0","1","0","0","1","0","1.36","7.34","2.91","4.34","0.0","0.0","5980"
"Williams Perez","","0","0","4.44","0","0","0","1.0","1","0","0","1","0","1.41","7.27","3.16","4.34","0.0","0.0","11592"
"Max Meyer","MIA","0","0","4.35","0","0","0","1.0","1","0","0","1","0","1.38","7.89","3.50","4.38","0.0","0.0","sa3014430"
"Christian Greene","CIN","0","0","4.43","0","0","0","1.0","1","0","0","1","0","1.36","9.63","3.79","4.38","0.0","0.0","sa3005315"
"CC Sabathia","","0","0","4.39","0","0","0","1.0","1","0","0","1","0","1.38","8.06","3.28","4.38","0.0","0.0","404"
"Tsuyoshi Wada","","0","0","4.35","0","0","0","1.0","1","0","0","1","0","1.35","8.17","3.14","4.39","0.0","0.0","13046"
"Yonny Chirinos","TBR","0","0","4.28","0","0","0","1.0","1","0","0","1","0","1.31","7.74","2.87","4.40","0.0","0.0","16401"
"Nathan Karns","","0","0","4.47","0","0","0","1.0","1","0","0","1","0","1.37","8.54","3.44","4.40","0.0","0.0","12638"
"Zach Lee","ARI","0","0","4.48","0","0","0","1.0","1","0","0","1","0","1.41","6.84","3.11","4.40","0.0","0.0","11468"
"Hayden Deal","ATL","0","0","4.36","0","0","0","1.0","1","0","0","1","0","1.48","6.79","3.69","4.40","0.0","0.0","sa3004680"
"Brandon Beachy","","0","0","4.49","0","0","0","1.0","1","0","0","1","0","1.37","7.73","3.24","4.40","0.0","0.0","8851"
"Ryan Pepiot","LAD","0","0","4.38","0","0","0","1.0","1","0","0","1","0","1.38","9.17","3.92","4.40","0.0","0.0","sa3011244"
"Raul Valdes","","0","0","4.33","0","0","0","1.0","1","0","0","1","0","1.34","7.85","2.93","4.40","0.0","0.0","1953"
"Dakota Hudson","STL","0","0","4.30","0","0","0","1.0","1","0","0","1","0","1.48","7.19","4.11","4.42","0.0","0.0","19206"
"Yoanys Quiala","","0","0","4.50","0","0","0","1.0","1","0","0","1","0","1.41","7.50","3.48","4.42","0.0","0.0","sa876861"
"Colton Turner","","0","0","4.33","0","0","0","1.0","1","0","0","1","0","1.39","8.50","3.78","4.43","0.0","0.0","sa658600"
"Bradin Hagens","","0","0","4.52","0","0","0","1.0","1","1","0","1","0","1.48","7.49","4.00","4.43","0.0","0.0","7422"
"Brett Conine","HOU","0","0","4.35","0","0","0","1.0","1","0","0","1","0","1.38","7.78","3.48","4.43","0.0","0.0","sa3008024"
"Tristan Beck","SFG","0","0","4.53","0","0","0","1.0","1","1","0","1","0","1.44","7.58","3.76","4.44","0.0","0.0","sa3008526"
"Joshua Walker","NYM","0","0","4.22","0","0","0","1.0","1","0","0","1","0","1.35","8.27","3.43","4.44","0.0","0.0","sa3004488"
"Ubaldo Jimenez","","0","0","4.57","0","0","0","1.0","1","1","0","1","0","1.39","8.29","3.47","4.45","0.0","0.0","3374"
"Eric Jokisch","","0","0","4.26","0","0","0","1.0","1","0","0","1","0","1.38","6.79","3.17","4.45","0.0","0.0","11157"
"Alex Meyer","","0","0","4.34","0","0","0","1.0","1","0","0","1","0","1.38","9.40","4.19","4.46","0.0","0.0","12833"
"Hector Noesi","","0","0","4.46","0","0","0","1.0","1","0","0","1","0","1.32","8.55","3.06","4.46","0.0","0.0","3292"
"Augustus Varland","LAD","0","0","4.44","0","0","0","1.0","1","0","0","1","0","1.33","8.52","3.15","4.47","0.0","0.0","sa3007779"
"Markus Solbach","LAD","0","0","4.45","0","0","0","1.0","1","0","0","1","0","1.36","7.99","3.16","4.47","0.0","0.0","sa599472"
