"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Luis Ramirez","LAA","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.51","7.85","4.69","5.12","0.0","0.0","sa917821"
"Jordan Jess","","0","0","4.91","0","1","0","1.0","1","1","0","1","1","1.60","7.21","5.15","5.14","0.0","0.0","sa918756"
"Shelby Lackey","COL","0","0","5.49","0","1","0","1.0","1","1","0","1","1","1.67","7.82","5.16","5.17","0.0","0.0","sa3006771"
"Cory Taylor","","0","0","5.07","0","1","0","1.0","1","1","0","1","0","1.49","7.60","4.11","5.15","0.0","0.0","sa875205"
"Anderson Severino","CHW","0","0","4.77","0","1","0","1.0","1","1","0","1","1","1.62","7.74","5.65","5.15","0.0","0.0","sa838671"
"Mitchell Ragan","NYM","0","0","4.89","0","1","0","1.0","1","1","0","1","1","1.57","7.76","5.25","5.15","0.0","0.0","sa3009944"
"Antonio Santillan","CIN","0","1","4.76","1","4","0","9.0","9","5","2","9","4","1.40","8.82","3.83","4.82","0.0","0.0","sa874781"
"Leon Biegalski","LAA","0","0","4.98","0","1","0","1.0","1","1","0","1","0","1.43","8.03","3.83","5.13","0.0","0.0","sa873983"
"Coleman Huntley","ATL","0","0","5.17","0","1","0","1.0","1","1","0","1","1","1.65","7.41","5.47","5.18","0.0","0.0","sa3014912"
"Myles Jaye","","0","0","5.36","0","1","0","1.0","1","1","0","1","0","1.56","5.51","3.68","5.35","0.0","0.0","11769"
"Jose Pulido","TOR","0","0","5.08","0","1","0","1.0","1","1","0","1","1","1.53","7.95","4.71","5.16","0.0","0.0","sa3006819"
"Zachary Ryan","LAA","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.49","9.01","5.05","5.14","0.0","0.0","sa873262"
"Skylar Arias","CLE","0","0","4.86","0","1","0","1.0","1","1","0","1","1","1.57","8.67","5.52","5.10","0.0","0.0","sa918539"
"Dakota Bacus","WSN","0","0","4.62","0","3","0","3.0","3","1","0","2","1","1.50","7.74","4.37","4.68","0.0","0.0","14545"
"William Gaston","TOR","0","0","5.07","0","1","0","1.0","1","1","0","1","1","1.57","7.64","4.92","5.17","0.0","0.0","sa3009937"
"Jorge Tavarez","","0","0","4.98","0","1","0","1.0","1","1","0","1","1","1.67","7.52","5.91","5.16","0.0","0.0","sa872546"
"David Richardson","","0","0","5.03","0","1","0","1.0","1","1","0","1","1","1.65","7.66","5.70","5.16","0.0","0.0","sa549266"
"Sal Mendez","TEX","0","0","4.86","0","1","0","1.0","1","1","0","1","0","1.46","7.66","3.99","5.08","0.0","0.0","sa739012"
"Ariel Pena","","0","0","5.27","0","1","0","1.0","1","1","0","1","1","1.62","7.61","5.35","5.37","0.0","0.0","10240"
"Allan Winans","NYM","0","0","4.84","0","1","0","1.0","1","1","0","1","1","1.62","7.47","5.65","5.17","0.0","0.0","sa3007580"
"Bryce Tucker","SFG","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.69","7.63","6.27","5.14","0.0","0.0","sa1119388"
"Matthew Gorst","","0","0","5.07","0","1","0","1.0","1","1","0","1","0","1.49","7.55","4.18","5.17","0.0","0.0","sa918262"
